EntrezGene ID	Affy HG U133B probeset
4535	
4536	
4512	
4513	
4509	
4508	
4514	
4537	
4539	224373_s_at
4538	224373_s_at
4538	224372_at
4540	
4541	
4519	
4158	
4158	
117159	
117159	
117159	
3112	
3112	
3112	
3112	
7466	
7466	
7466	
7466	
7466	
7466	
653643	232813_s_at
653643	232813_s_at
51646	222408_s_at
51646	222408_s_at
51646	222408_s_at
51646	
51646	222408_s_at
51646	222408_s_at
51646	
51646	222408_s_at
51646	222408_s_at
51646	222408_s_at
55845	224575_at
9074	237810_at
9074	237810_at
9074	237810_at
8988	
9073	
390162	
723809	239656_at
723809	
874	
23440	223835_x_at
23440	231488_at
197350	
197350	234231_at
197350	234231_at
197350	234231_at
100874047	
100874047	
100874047	
100874047	
100505625	
100505625	
83658	
83658	
83658	
83658	
1050	
101927007	
101927007	
64208	
64208	
64208	
64208	
40	
40	
40	
40	
40	
337972	
84281	
84281	
84281	223754_at
84281	223754_at
84281	223754_at
84281	223754_at
84281	223754_at
84281	223754_at
84281	228195_at
84281	223754_at
7189	
7189	
7189	
245938	
245938	
10489	
10489	
10489	
10489	
10489	
10489	
10489	
10489	
56975	226722_at
56975	
56975	
56975	226722_at
56975	234466_at
51200	
51200	
51200	
51200	
51200	
51200	
51200	
51200	
51200	
51200	
51200	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
222255	227732_at
222255	
222255	232265_at
222255	232265_at
222255	232265_at
222255	
222255	
222255	
222255	
222255	
222255	
84674	224414_s_at
84674	
90019	
90019	
90019	232802_at
90019	232802_at
90019	232802_at
90019	232802_at
90019	232802_at
90019	232802_at
90019	232802_at
90019	232802_at
90019	232802_at
90019	
90019	232802_at
90019	232802_at
10598	
10598	
10598	
10598	
10598	
10598	
10598	
10598	
10598	
10598	
10598	
10598	
10598	
83861	229810_at
83861	223713_at
83861	235889_at
83861	
83861	223713_at
83861	223713_at
100130417	
100130417	
100130417	
388536	
388536	
388536	
388536	
388536	
388536	
388536	
388536	
94104	
94104	
94104	
94104	
94104	
643866	235221_at
643866	
3809	
285231	
285231	
285231	
285231	
285231	
285231	
100507564	
643707	
643707	
643707	
643707	
643707	
10816	
5281	
5281	
5281	
5281	
5281	
5281	
5281	
27152	
27152	228946_at
27152	228946_at
27152	228946_at
27152	
27152	
27152	
27152	228946_at
102723996	
102723996	
102723996	
102723996	
102723996	
51398	
51398	
51398	
51398	
2252	
2252	
2252	
2252	
2252	
2252	
285761	
285761	
285761	
285761	
285761	
285761	226609_at
285761	
285761	
285761	
285761	
285761	
285761	
81623	233166_at
81623	233166_at
7428	
7428	
7428	
4099	
4099	
4099	
4099	
4099	
4099	
4099	
4099	
79823	
79823	
79823	
79823	
79823	
