EntrezGene ID	RefSeq ncRNA [e.g. NR_002834]
100616427	NR_039973
9636	
5680	
26648	
767577	NR_003193
100313774	NR_031683
6480	
4908	
400043	NR_026656
400043	
100379250	NR_033347
102465841	NR_107009
55870	
100616235	NR_039662
3223	
101929428	NR_110696
100616150	NR_039871
100033419	NR_003322
9262	
81556	
390792	
147687	
55007	
54682	
114818	
100126307	NR_030593
100240734	NR_026657
100033814	NR_003355
284114	
388722	
100616226	NR_039678
6007	
11020	
100124539	NR_003709
100846997	NR_049847
100846997	NR_049848
100847025	NR_049847
100847025	NR_049848
92521	
440026	
100873982	NR_046570
80731	
116138	
125144	
125144	NR_027170
125144	NR_045021
125144	NR_027166
125144	NR_027667
125144	NR_045027
125144	NR_027163
125144	NR_027167
9374	
90273	
101929760	
101929760	NR_110542
100033817	NR_003358
64123	
64759	
29966	
101926895	NR_120372
101926895	
84441	
414760	
1264	
2994	
2660	
100151684	NR_023344
2208	
100302278	NR_036051
2743	
693120	NR_030361
100422838	NR_130463
285555	
84932	
79034	
102060414	NR_104191
79622	
406970	NR_029829
102465466	NR_106835
79815	
84433	
5037	
1999	
55129	
8720	
692157	NR_004389
154661	
5298	
26809	NR_000014
9444	
101928790	NR_110059
7139	
26786	NR_002914
11068	
11068	NR_111913
11068	NR_111914
26779	NR_002584
55902	
100131902	
6646	
10929	
23564	
102466984	NR_106859
25984	
7077	
79830	
100846999	NR_049831
619499	NR_002575
767569	NR_003237
259215	
1676	
100302136	NR_031700
22943	
253128	NR_034140
6161	
100287082	NR_120598
5013	
100033800	NR_003315
8347	
282890	
100033427	NR_003330
677775	NR_003008
100302232	NR_031595
101954267	NR_104076
100422922	NR_036265
285429	
100506776	
100506776	NR_040085
340120	
10811	
2932	
3373	
150967	NR_037701
23306	
4800	
2524	
128674	
259289	
259291	
389383	NR_104467
389383	
1814	
101929269	
7922	
1951	
100505767	
102723555	
259295	
6086	NR_004393
5191	
101929839	
407975	
407975	NR_027349
100423032	NR_036067
574435	NR_030157
102723165	NR_110372
100126326	NR_030760
100313886	NR_031750
6536	
55722	
100302129	NR_031736
100302204	NR_031687
8880	
55771	
2940	
80741	
100616163	NR_039755
8087	
100500915	NR_037478
100422821	NR_036100
353376	
102466103	NR_106723
100847055	NR_049882
285190	
100422966	NR_036240
221223	
284110	
64784	
63940	
6638	
4838	
284353	
94239	
85290	
93134	
284086	
9937	
7369	
408050	
135656	
100126318	NR_030622
2794	
51742	
407025	NR_029518
441425	
5570	
401431	
401431	NR_027040
693205	NR_030351
343472	
441518	
6581	
51738	
941	
574499	NR_030221
911	
94103	
100505811	NR_104609
100616283	NR_039923
100132103	NR_027424
100132103	
102465860	NR_107021
8823	
57497	
93953	
8513	
29984	
6322	
100616392	NR_039931
100616392	NR_039932
100616418	NR_039931
100616418	NR_039932
80169	
283189	
100313769	NR_031574
286046	
55509	
100302137	NR_031735
100616467	NR_039924
283738	NR_038229
2079	
26804	NR_002748
102465438	NR_106790
3267	
407039	NR_029507
25763	
100422931	NR_036187
102465137	NR_106745
407040	NR_029610
79161	
105379699	
3805	
692205	NR_003070
51250	
65065	
100130331	NR_027247
79090	
388818	
442896	NR_029859
5406	
101927815	
101927815	NR_125423
400643	
400643	NR_034100
23139	
645811	
102466270	NR_106799
81932	
55917	
122830	
136647	
56659	
50838	
100302163	NR_031691
83541	
100302175	NR_031612
284406	
100302186	NR_031689
100313896	NR_031723
100422828	NR_036249
100500815	NR_037458
5910	
114836	
317671	
102465534	NR_106946
28227	
102466658	NR_106765
54729	
2239	
55251	
100302279	NR_031664
104326051	NR_126358
645832	
102466816	NR_106982
693130	NR_030382
693130	NR_037516
100500863	NR_030382
100500863	NR_037516
5888	
553	
8775	
54978	
1759	
100526648	NR_128706
64090	
574032	NR_029950
64215	
79754	
79754	NR_024581
3939	
57348	
200539	
100506233	NR_038903
100506233	
26864	NR_004426
100128002	
64221	
23317	
101928063	
101928063	NR_110727
200958	
5192	
693215	NR_030359
91614	
3679	
90592	
406921	NR_029674
144124	
9628	
100616460	NR_039695
30837	
92293	
4982	
10057	
105378052	
100616309	NR_039683
79799	
51451	
26271	
102466225	NR_106967
11333	
284131	
100616362	NR_039758
100500891	NR_037499
100616272	NR_039618
80232	
407003	NR_039815
407003	NR_029837
100616335	NR_039815
100616335	NR_029837
100616110	NR_039603
170425	NR_038220
170425	
406926	NR_029678
462	
2850	
693132	NR_030393
100033804	NR_003345
721	
4534	
113791	
126074	
346673	
4322	
100422902	NR_036059
100422902	NR_036058
100422946	NR_036059
100422946	NR_036058
102465448	NR_106806
5706	
102465519	NR_106921
1063	
23291	
4313	
4884	
10165	
3120	
29915	
134111	
102464836	NR_106736
100616115	NR_039679
100287902	NR_034040
100287902	
102466223	NR_106964
102465669	NR_106963
80352	
253714	
84063	
58490	
7988	
8899	
4109	
286144	
25777	
57211	
6387	
10467	
101929452	NR_110252
101929452	
8602	
54866	
220869	
23344	
147947	NR_003127
147947	
147947	NR_033418
147947	NR_024055
147947	NR_024057
102466726	NR_106803
100874369	NR_046768
394263	
5225	
55841	
8969	
255758	
7224	
23627	
102465433	NR_106782
6602	
6954	
54807	
84612	
102467005	NR_107051
23269	
23144	
55191	
693214	NR_030714
1778	
9275	
9275	NR_036682
2101	
342933	
100616330	NR_039712
266629	
390190	
10749	
64926	
100422964	NR_036105
100422964	NR_037484
100500907	NR_036105
100500907	NR_037484
5602	
100847079	NR_049825
57476	
55798	
100422995	NR_036136
389692	
57119	
7975	
57128	
91445	
146206	
4593	
1396	
8859	NR_026717
8859	
59349	
6036	
54103	
100128108	
9333	
7070	
10802	
5030	
4664	
196513	
3054	
391002	
7462	
5544	
285593	NR_027108
285593	NR_027109
55532	
3241	
2597	
5024	
527	
10603	
9604	
23788	
104502416	NR_126463
246705	NR_027246
101927487	NR_125418
101927487	
286016	NR_002187
286016	
55281	
11251	
9023	
3912	
83787	
29841	
219453	
2220	
908	
23603	
152065	
341276	
23302	NR_040000
23302	
339166	NR_040000
339166	
29994	
23620	
5645	
317762	
84986	
285834	
27164	
55599	
100874029	
100874029	NR_046728
157273	
157273	NR_040039
3310	
5578	
51397	
57829	
171546	
10962	
3718	
23643	
256297	
54440	
283297	
23654	
101929081	NR_109912
729262	
114761	NR_002177
114761	NR_001525
114761	NR_002178
474149	NR_002177
474149	NR_001525
474149	NR_002178
474150	NR_002177
474150	NR_001525
474150	NR_002178
677882	
677882	NR_003022
116828	NR_026928
57822	
101929116	NR_121584
2212	
9103	
120776	
106478970	NR_133658
55199	
57536	
51651	
442867	
5861	
400830	
9179	
51547	
10631	
83875	
89853	
158401	
1856	
84141	
11188	
89870	
55689	
25929	
9847	
389015	
2121	
211	
339451	
55326	
133558	
23020	
113675	
152573	
6811	
94030	
125115	
148268	
6222	
1622	
317649	
6742	
100128553	
101060696	
165100	
4311	
293	
101927364	NR_110916
101927364	
147807	
346171	
102546175	NR_105016
55279	
206412	
5411	
551	
84922	
466	
10417	
112399	
659	
387082	
1577	
1577	NR_033807
2268	
57574	
55234	
608	
375519	
1723	
7102	
56204	
27338	
3609	
6820	
4350	
4094	
25963	
2840	
102723927	NR_110592
102723927	
10279	
392188	
56130	
50839	
4900	
10683	
57151	
2688	
102723526	NR_134271
102723526	NR_134270
129807	
118813	
1268	
162333	
255167	
255167	NR_024423
100533182	
100533182	NR_039978
7728	
728255	
1559	
200159	
124221	
124221	NR_026864
23334	
5534	
4795	
57172	
8742	
2219	
92002	
10665	
55647	
200931	
5970	
9236	
728310	
728310	NR_047567
1432	
100862679	NR_046390
100862679	
143502	
7133	
55759	
5554	
10778	NR_024566
10778	NR_024565
10778	
151306	
3811	
388323	
126536	
126536	NR_026828
641517	NR_003668
55280	
55190	
81850	
645836	
105377247	NR_133941
105377247	NR_133942
9040	
9580	
286442	NR_038968
286442	
81851	
115209	
146	
79037	
10827	
643669	
8638	
55240	
389073	
100507433	
100507433	NR_038247
100507433	NR_038248
100507433	NR_038249
54799	
4068	
147945	
10085	
101927957	NR_126330
101927957	
116969	
10039	
150921	
57188	
9859	
9542	
132001	
56656	
23093	
1147	
100289656	NR_036475
100289656	
100132285	
100128568	NR_046376
137362	
84179	
25759	
5201	
203068	
124220	
2957	
100128386	NR_133571
64220	
139231	
10782	
826	
51236	
25895	
440163	
3123	
105369230	
79017	
100506655	NR_039998
100506655	
83543	
105377245	NR_133939
105377245	
81872	
360200	
55313	
10491	
80315	
101927815	NR_125426
910	
131474	
29766	
161	
284827	
22806	
51263	
7520	
29777	
374654	
7884	
100506126	NR_108045
100506126	
3	NR_040112
3	
9377	
10785	
5051	
57379	
59348	
114132	
170082	
5438	
4892	
103611081	NR_125382
400961	
5634	
2290	
2043	
103695435	NR_125768
103695435	NR_125767
103695435	NR_125766
103695435	
140831	
728279	
730755	
646799	
101929415	NR_125813
101929415	
51522	
105372267	
339260	
339260	NR_104185
339260	NR_123730
440416	
440416	NR_104185
440416	NR_123730
105369205	
105369205	NR_104185
105369205	NR_123730
8633	
10280	
5864	
2057	
64241	
23527	
9587	
4946	
643382	
161436	
29989	
29989	NR_110243
6941	
219537	
26037	
81127	
85462	
396	
160622	
219699	
340351	
6606	
6607	
29965	
101929685	NR_109883
64582	
3883	
284111	
51026	
80139	
101928770	NR_126363
1368	
7038	
284729	
284729	NR_026567
717	
8451	
3810	
115399	
11270	
634	
1356	
646754	
29964	
259290	
26205	
1911	
7296	
64946	
4902	
283888	NR_037158
100873969	NR_049775
100873969	NR_046520
122042	
339779	
7917	
100631378	NR_040015
100631378	
54841	
286114	
286114	NR_033894
732253	
732253	NR_024015
728411	
728411	NR_027027
101929002	
201853	NR_126435
201853	
55367	
342	
342	NR_028414
25987	
55127	
56254	
3749	
30	
100996694	NR_121639
10775	
387266	
388165	
388165	NR_003661
140458	
120775	
8208	
3628	
11036	
84634	
23031	
10384	
101927406	
101927406	NR_110222
390980	
54888	
101	
119774	
5179	
138307	
119180	
3804	
84553	
151354	
29113	
28991	
114049	
55815	
3249	
29956	
137835	
202559	
8343	
340156	
654434	
654434	NR_027058
168002	
113000	
81579	
100133123	NR_045260
100133123	
653275	
23304	
100505761	
100505761	NR_038938
100505761	NR_038937
84133	
375607	
79888	
653619	
80336	
55268	
90459	
85294	
11027	
1400	
2214	
8659	
10815	
100996750	
9781	
3109	
9718	
11330	
23397	
51555	
91653	
11336	
1213	
146198	
91543	
5870	
6253	
23118	
4676	
3397	
7762	
401124	
25913	
285016	
340152	
644554	
644554	NR_040013
105379051	
23015	
23015	NR_027410
23015	NR_027409
440270	
440270	NR_027410
440270	NR_027409
25789	
3399	
4869	
643812	
1876	
100128770	NR_047572
9623	
131669	
11250	
10663	
100506388	NR_040011
100506388	
4773	
259293	
60680	
6764	
100507475	NR_046452
100507475	
54869	
51106	
2091	
170679	
100861548	NR_046507
9055	
85376	
159091	
284023	NR_024349
51399	
6498	
488	
100874207	NR_046683
100874207	
170680	
221914	
283643	
345778	
105371426	
23398	
150197	NR_026919
150197	
101928733	
347252	
25871	
7006	
8785	
101928877	
9915	
55216	
126205	
254122	
1968	
5133	
144699	
8492	
93145	
390191	
79699	
101929574	NR_120661
378832	NR_028082
378832	NR_027498
27296	
7366	
387707	
57148	
1032	
100996348	NR_121631
100996348	
80746	
259292	
2213	
23639	
7486	
55061	
51411	
146439	
79258	
5531	
4091	
8743	
6001	
105375014	
7318	
23162	
26235	
79935	
221545	
2517	
51218	
100505538	
100505538	NR_038991
9790	
9667	
7511	
256130	
3067	
339822	NR_033880
339822	
84720	
102467222	
102467222	NR_130774
26574	
116519	
55020	
57217	
8740	
256051	
152195	NR_002949
152195	
388125	
159	
7071	
6731	
4033	
124808	
345222	
285103	NR_033903
285103	
27148	
9467	
9066	
10255	
7803	
100874111	NR_046721
104266958	NR_126348
101928008	NR_120539
4340	
101927323	NR_110774
378807	
57175	
57719	
9629	
9629	NR_024604
761	
25798	
100132288	NR_037872
100132288	NR_038327
100132288	
100233156	NR_037872
100233156	NR_038327
100233156	
153768	
9684	
256281	
51239	
10175	
25950	
25950	NR_103484
6164	
388324	
80122	
3145	
79986	NR_003578
79986	
80863	
100507547	
647323	NR_033944
647323	
57410	
55757	
2039	
6433	
6469	
760	
374897	
100132341	NR_024034
100132341	
55355	
387111	
387111	NR_033376
26073	
90427	
101928837	NR_120562
101928837	NR_120561
101928837	
100133920	NR_024443
100133920	
4439	
100873997	NR_046621
113	
9733	
3304	
55790	
51528	
10352	
11095	
340146	
54539	
101928751	NR_125964
57150	
57150	NR_026784
63914	
63914	NR_026784
10552	
219995	
6513	
401288	NR_026781
91875	
5144	
4294	
8447	
728224	
100873922	NR_046657
80069	NR_026780
255239	
102724224	NR_110599
5810	
1041	
81492	
5793	
5096	
22803	
157556	NR_027071
157556	
284757	
284757	NR_046099
283404	NR_027358
10781	
57864	
10194	
100507381	NR_120503
8726	
6472	
100861522	NR_047461
100009676	NR_024407
389766	
1388	
101060385	NR_110179
101060385	
3394	
102724009	NR_120665
5774	
3135	
100874531	NR_103790
23635	
2026	
100506874	
100506874	NR_038274
100506874	NR_038273
80219	
57537	
140683	
50489	
80127	
219968	
2063	
10589	
124245	
10389	
100129520	
25884	
53841	
144404	
100526773	
255520	
10817	
26167	
7543	
26751	
26751	NR_104225
26751	NR_104226
149041	
56131	
100309464	NR_029385
100309464	
6840	
56129	
10527	
4907	
9068	
340419	
137682	
147081	
147081	NR_027295
147081	NR_026905
401884	
401884	NR_027295
401884	NR_026905
4597	
83853	
27035	
2017	
56288	
80714	
25840	
284359	
102723885	NR_120517
137994	
100287792	NR_040021
8455	
55914	
116154	
338692	
148738	
148281	
6531	
155400	
155400	NR_033323
155400	NR_033322
260294	
260294	NR_033323
260294	NR_033322
8661	
254827	
115827	
219333	
5327	
23105	
5555	
2051	
51094	
7358	
2571	
81573	
1048	
11083	
8372	
4988	
388585	
57153	
54621	
100509620	
63894	
64787	
11006	
5928	
84124	
105372672	
101928100	NR_120430
65981	
51304	
81557	
7764	
481	
84060	
8832	
132949	
2528	
79956	
5868	
101928248	
101928248	NR_104660
113179	
27004	
27004	NR_028288
29108	
9114	
23649	
10951	
448831	
3052	
146456	
57661	
5165	
101060498	NR_121640
102467146	
102467146	NR_104663
5558	
101927581	
55352	
3119	
9590	
284433	
3611	
1058	
27107	
100507650	
100507290	
126248	
7432	
80777	
285220	
653240	
51652	
6257	
57458	
101928259	NR_110391
55197	
102724555	
102724555	NR_111922
80346	
9842	
100132386	
2527	
7726	
9892	
2262	
105378138	
7252	
54843	
57538	
728978	
728978	NR_038453
1743	
10677	
28986	
8639	
130557	
1650	
170960	
100533177	
4237	
348654	
10055	
644844	
3916	
653427	
4363	
712	
23225	
3069	
126282	
55140	
11014	
143879	
23580	
341405	
85352	
90362	
64077	
23059	
1687	
339666	NR_038918
3841	
116	
6999	
387837	
84254	
134553	
3840	
136288	
133923	
254773	
54882	
100996291	NR_073178
103724388	NR_125772
103724388	
347051	
101927431	NR_110223
51514	
254531	
255043	
9350	
1762	
27153	
442184	
120066	
7410	
57292	
339184	
100874157	
100874157	NR_047011
2665	
100873942	NR_046639
155185	
8452	
475	
5153	
55247	
10738	
25825	
55611	NR_003089
55611	
401548	
8321	
5542	
91862	
90196	
101929759	
7453	
101928590	NR_125901
3931	
90865	
28973	
11056	
55788	
414157	
830	
128861	
23380	
1647	
7402	
10313	
55758	
81616	
1960	
5799	
79369	
286527	
10392	
101927869	NR_109963
988	
64062	
54929	
56999	
5987	
11228	
130752	
10672	
5003	
148756	NR_125716
9501	
5989	
30833	
128239	
129607	
129607	NR_046236
102724076	NR_125785
115861	
727936	
286499	
100750246	NR_047116
10876	
374879	
8404	
374470	
5275	
6617	
10694	
100130519	
9879	
5100	
948	
404785	
252954	NR_001539
101927588	NR_125420
139285	
9183	
8772	
55201	
54795	
102467655	NR_105003
57599	
11026	
57380	
56924	
106821730	
401491	
401491	NR_015375
9289	
553128	
3800	
92342	
53630	
14	
8439	
401137	
126328	
6845	
4650	
57606	
161753	
283174	NR_024344
147199	
266747	
55103	
6284	
25936	
389812	
59342	
11325	
5368	
10424	
54039	
6349	
414062	
113746	
1556	
1556	NR_001278
23517	
404550	
3567	
3554	
100132916	
23383	
79870	
7571	
3087	
92579	
35	
51350	
113251	
84215	
201299	
152024	
152024	NR_026834
6975	
8529	
58496	
89932	
9980	
5413	
5587	
151871	
783	
64965	
134637	
1892	
6199	
113178	
79768	
3376	
4855	
105370586	
4810	
284459	
554223	NR_132323
27339	
84875	
55750	
5692	
390075	
84916	
27086	
5514	
23412	
101101775	
101101775	NR_073458
101101775	NR_073457
101101775	NR_073456
103689843	NR_125745
84232	
23355	
57191	
7572	
100507608	
100874123	NR_046851
140870	
343578	
5553	
26512	
100874096	NR_046663
22933	
101929237	
101929237	NR_125433
79885	
219429	
57685	
284306	
402	
341947	
23326	
10428	
3818	
57180	
83985	
26060	
10617	
27286	
8914	
4990	
9265	
5034	
3107	
118812	
6051	
79963	NR_002451
79963	
158880	
55350	
10559	
148423	NR_024113
148423	
142685	
134121	
8470	
9381	
23234	
441027	
440225	NR_028506
440225	
51272	
54954	
5529	
1514	
390535	NR_033350
390535	NR_027411
729786	NR_033350
729786	NR_027411
374	
23038	
285368	
152006	
6563	
151258	
8924	
101928942	NR_125908
101928942	
55133	
79862	
951	
8795	
4277	
100873920	NR_046632
11191	NR_023917
11191	
80761	
105375355	
113457	
100505659	
100505659	NR_039979
54832	
22870	
27352	
60625	
11156	
101927423	
6659	
5277	
5277	NR_033836
26985	
338440	
83989	
91522	
390079	
55625	
145376	
145773	
126626	
7498	
124401	
642597	
101927755	
101927755	NR_110815
4926	
79853	
4124	
3998	
284390	
10017	
2250	
85445	
55182	
23046	
55011	
64940	NR_040586
64940	
9277	
4025	
57465	
26012	
124491	
85363	
84447	
55676	
3547	
442186	
140766	
47	
11255	
8751	
10795	
29119	
28956	
9510	
92609	
1641	
474344	
7376	
1788	
28999	
2324	
3002	
147808	
101928326	
282775	
441061	
100652740	NR_102400
440600	NR_036595
2740	
51292	
64783	
85285	
5672	
152519	
554201	NR_038850
283299	
283299	NR_036678
5089	
8884	
8884	NR_028323
1524	
5991	
4316	
55922	
27033	
10842	
23450	
85291	
146059	
10149	
9294	
7932	
80740	
140699	
129446	
120065	
7941	
10078	
7259	
10286	
80020	
2760	
57583	
126298	
3914	
645784	
645784	NR_015424
80264	
79635	
57232	
5066	
2169	
84701	
54943	
440243	
50859	
389118	
55102	
1796	
441925	
79078	
29940	
374955	
283796	
283796	NR_024074
339290	
339290	NR_015389
10396	
167826	
388381	
2131	
390036	
442497	NR_033960
388567	
90423	
7371	
284366	
9909	
57578	
642280	NR_027481
642280	
255324	
105371620	
10691	
9131	
90141	
150678	
652276	NR_015441
652276	
317761	
653635	NR_130745
653635	NR_024540
100288778	NR_130745
100288778	NR_024540
253635	
55966	
5980	
57336	
3083	
9784	
4641	
84314	
165904	
5919	
84820	NR_003655
84820	
23	
23023	
1476	
2644	
1138	
10690	
4159	
497634	
497634	NR_027013
4303	
23600	
101928118	NR_125949
101928118	
102467225	NR_104998
163732	
100505676	NR_040434
83695	
83695	NR_027365
55065	
1519	
727940	
57016	
100874235	NR_046579
100652846	NR_045725
100652846	
54583	
90550	
23636	
55138	
55032	
51305	
133	
79070	
2204	
54860	
5545	
64091	
7291	
105	
8801	
120114	
57553	
10682	
6473	
283897	
105369277	
5688	
282679	
729083	NR_122070
26018	
5653	
401562	
4437	
6665	
376412	NR_002818
376412	
27185	
200232	
4695	
2677	
5518	
8647	
51669	
64785	
7584	
7109	
81300	
85280	
6726	
4221	
54830	
7562	
51321	
57147	
1317	
83899	
84928	
80028	
4162	
152138	
80071	
51320	
25925	
51463	
8803	
5623	
100861542	NR_047483
23198	
221908	
130576	
84253	
29968	
112817	
54474	
9782	
84266	
55188	
132332	
55668	
4745	
5739	
1589	
5933	
132724	
1740	
6117	
6891	
91442	
11141	
92667	
26248	
4734	
54884	
84654	
23246	
105374847	
55752	
147685	
10897	
100133205	
100133205	NR_026775
394	
80054	NR_026887
5502	
5224	
56997	
93664	
79753	
165324	
100507632	
100507632	NR_038236
11235	
171586	
54840	
91664	
1352	
10712	
80319	
140767	
200403	
166785	
414765	NR_044997
414765	
1369	
5595	
10717	
102724265	
780851	
780851	NR_006880
6205	
653149	
100129515	
100129515	NR_033941
391059	
60598	
80739	
22884	
149998	
7812	
55679	
54453	
5746	
4651	
56344	
3077	
259197	
84460	
8045	
4135	
3036	
390078	
3750	
4134	
84280	
375444	
5255	
11219	
84804	
51021	
3690	
399979	
101928969	NR_131238
101928969	
101927043	
101927043	NR_110207
7220	
400500	NR_024050
400500	NR_131217
400500	
400500	NR_024049
22798	
81619	
132203	
101927273	NR_110755
101927267	NR_120449
106478956	NR_133647
101060542	NR_110764
54940	
390205	
101927275	NR_110771
101927275	
158801	
158801	NR_027131
149420	
6100	
100505474	NR_040026
100505474	NR_040025
100505474	
81552	
645166	
645166	NR_027354
642559	NR_036440
3013	
5074	
3270	
7844	
6354	
157697	
84660	
23621	
496	
9364	
167465	
6882	
8533	
101926933	NR_110002
101926933	
401262	
8613	
54898	
55083	
1207	
399923	
399923	NR_038862
3189	
100527978	
79665	
5332	
8615	
148266	
440738	
23042	
102724985	
131566	
94031	
55954	
79849	
22882	
3665	
81491	
653160	
653160	NR_037869
103752554	NR_125783
2134	
644890	
100506144	
100532736	
84197	
9184	
11314	
90639	
10346	
780853	
780853	NR_006881
406	
348808	
348808	NR_002811
339302	
339345	
10621	
386597	NR_033997
386597	
11147	
23590	
100507373	NR_045214
100507373	
100134259	
100134259	NR_024452
170371	
397	
4166	
26112	
125893	
646851	
124871	
124871	NR_034161
27090	
84450	
90506	
23764	
79068	
64129	
93429	
93429	NR_027003
368	
105369239	
3581	
55860	
732	
84560	
283652	
3096	
5493	
11151	
100507477	NR_121622
100507477	
9798	
58511	
5832	
547	
26033	
2135	
23545	
800	
23770	
284656	
84436	
692099	
692099	NR_024241
284274	
8531	
642475	
2885	
4584	
55117	
29855	
9181	
5771	
84248	
84962	
9079	
8435	
160728	
2550	
159125	
159125	NR_001574
29110	
56729	
23369	
9478	
60561	
10284	
150142	NR_119384
150142	NR_119385
150142	NR_027273
54212	
4858	
10408	
10408	NR_110230
10408	NR_026766
291	
1295	
8351	
5669	
57546	
3920	
51259	
65057	
170691	
10400	
8360	
127003	
140687	
6147	
105463123	NR_131204
285084	NR_038897
285084	
1444	
57593	
23456	
149466	
100132406	
101060226	
205860	
402381	
55719	
101060351	
102723859	
162979	
219902	
100506686	NR_040051
100506686	NR_040052
100506686	
101928280	
100129361	
152815	
26157	
4729	
26036	
101927356	NR_110076
101927356	
5696	
388948	
388948	NR_034099
139628	
9450	
100288332	
79134	
51761	
79575	
285629	NR_027111
285629	
1643	
28957	
286190	NR_038881
286190	
64184	
11236	
80097	
101929153	NR_104619
7368	
1545	
79792	
10891	
26097	
55530	
5460	
1848	
730668	NR_027240
311	
127428	NR_130900
127428	
105379715	
10930	
22802	
122416	
54854	
266727	
4061	
1124	
1124	NR_120523
101928168	
101928168	NR_120523
102724323	NR_120674
23476	
246126	
246126	NR_045129
100131390	
162	
170954	
8287	
127670	
101928944	NR_120570
171169	
284565	
57332	
54434	
10063	
105373100	
22850	
51554	
221476	
90355	
199800	
101927217	
101927217	NR_110218
22859	
91750	
1746	
80736	
49854	
29933	
4010	
7094	
7846	
100653515	
129025	
57708	
100129175	NR_046086
463	
84218	
339231	
28984	
53343	
240	
101669766	
101669766	NR_103847
158866	
105370333	NR_132422
389114	
221357	
79781	
101929988	
5431	
100506365	NR_110438
100506365	NR_110439
28316	
4690	
55630	
27115	
645455	
645455	NR_003135
9342	
8344	
154761	
154761	NR_015421
144203	
408186	
6301	
401498	
6643	
781	
51110	
23495	
84679	
4168	
100874234	NR_046578
7124	
388963	
83902	
9419	
3675	
345462	
100505753	
4211	
253725	
10505	
79846	
54521	
7001	
51449	
129787	
23251	
10107	
23583	
374355	
285672	
728361	
645922	
2729	
2622	
123688	
10626	
5757	
728026	
55342	
63932	
80760	
389799	
3621	
9219	
340307	
6448	
51533	
10404	
6339	
121551	
151325	
151325	NR_003143
84451	
6522	
106144585	NR_132381
5730	
23423	
90381	
388364	
101929071	NR_121681
101929071	
440356	
440356	NR_015396
341359	
10139	
2145	
100463482	
146050	
114882	
51104	
3117	
1155	
409	
4825	
1809	
28	
51067	
125981	
114826	
642273	
390157	
101926900	NR_109756
102724862	
390648	
56936	
10125	
79048	
4487	
338557	
168451	
101928495	NR_110409
101927761	NR_132124
101927761	NR_132125
101927761	NR_132126
101927761	
9380	
283464	
137902	
3915	
2650	
5741	
49	
7301	
80781	
9984	
58538	
439927	NR_027379
57705	
7455	
7455	NR_111917
7455	NR_111919
7455	NR_111918
114614	NR_001458
644242	NR_036540
283431	
2824	
142940	
23085	
124222	
79612	
100652791	NR_045217
100652791	
5288	
2157	
81870	
23531	
7148	
23201	
81025	
2049	
5777	
11240	
83856	
171558	
83900	
6900	
8763	
101927914	NR_110157
3017	
1523	
751580	
751580	NR_130733
414919	
285962	NR_015392
285962	
114987	
401337	NR_038371
60485	
389610	
64098	
105372566	
11025	
79168	
197	
29095	
6097	
2712	
55609	
85463	
90007	
27136	
101928335	NR_110395
54887	
79927	
347731	
7323	
1618	
7040	
4653	
105377371	
167691	
102724691	NR_110603
101930114	
101929484	NR_132623
101929484	
2035	
81856	
23483	
125988	
57818	
50486	
55317	
3208	
24142	
27043	
9128	
196051	
101929181	NR_104624
100528030	
7681	
55851	
54981	
100131027	
51090	
3053	
100129407	NR_034116
100129407	NR_120499
100129407	NR_120494
100129407	NR_120493
100129407	
100132304	NR_034116
100132304	NR_120499
100132304	NR_120494
100132304	NR_120493
100132304	
1294	
160492	
23213	
204801	
342897	
645683	
645683	NR_004844
79974	
64102	
1477	
6818	
105369243	
8681	
100137049	
103689912	
103689912	NR_125749
103689912	NR_125751
2073	
7450	
10036	
8893	
80133	
79868	
2081	
101929448	
101929448	NR_125925
4041	
57594	
122618	
372	
3872	
57669	
51666	
2783	
51657	
9831	
101929765	NR_120371
101929765	
401397	NR_015442
401397	
105378311	
59284	
100128893	NR_102763
100128893	
25850	
22934	
4680	
100505724	
6239	
100268168	NR_026683
100268168	
348235	
375337	
57821	
101928865	NR_120564
23099	
101927492	
101927492	NR_110227
2009	
7553	
1808	
353322	
23316	
9020	
29958	
338321	
341277	
29781	
142689	
440435	
3158	
57605	
1938	
101927795	NR_110275
283212	
9349	
6124	
23553	
57647	
57787	
145581	
126695	
9213	
301	
101243555	NR_103745
8741	
7993	
56260	
102724368	NR_111921
662	
6336	
9743	
6945	
10062	
580	
102577424	NR_108030
7920	
79993	
151	
79744	
7639	
1237	
10692	
3742	
26290	
8527	
9711	
84125	
135644	
2803	
22997	
103695364	NR_125759
9423	
112597	
112597	NR_024206
112597	NR_024373
112597	NR_024204
541471	
541471	NR_024206
541471	NR_024373
541471	NR_024204
7247	
100874201	NR_046574
347730	
387267	
119559	
124997	
51157	
7335	
7335	NR_047554
3832	
129531	
54948	
85413	
4828	
84991	
1174	
7678	
3290	
101929488	NR_125818
101929488	
56135	
54933	
257240	
55814	
10128	
84186	
158931	
3484	
116362	
2768	
101928417	NR_110937
56884	
11043	
5430	
221178	NR_104595
84524	
3098	
114758	NR_001554
404037	
332	
63947	
148145	NR_027318
148145	
5002	
81472	
100874231	NR_046531
101927015	
101927015	NR_109769
6595	
339535	NR_015407
100506710	NR_036592
100506710	
729873	
101060376	
57406	
81611	
387751	NR_003945
387751	
105376072	
10460	
7003	
441933	
101059948	NR_073552
759	
2675	
81470	
64121	
81469	
1515	
54629	
8878	
55361	
100861552	NR_047488
23178	
5756	
7019	
7389	
100129669	
343169	
104326193	NR_126376
