EntrezGene ID	RefSeq ncRNA [e.g. NR_002834]
100616264	NR_039753
101060684	
100500833	NR_037426
115123	
8711	
677763	NR_003000
103504736	NR_128718
653073	
653720	
728498	
105378732	NR_131923
102465668	NR_106961
100616431	NR_039630
100616435	NR_039965
25940	
100616246	NR_039962
100616457	NR_039842
100422952	NR_036233
374907	
102465257	NR_106769
378706	NR_027260
100616128	NR_039826
100616128	NR_039827
100616192	NR_039826
100616192	NR_039827
344022	
102465437	NR_106789
100616341	NR_039636
100422896	NR_036092
79613	
8227	
100616177	NR_039614
101410545	NR_102713
51725	
100506013	
677817	NR_002969
128218	
100847085	NR_049892
9655	
100500839	NR_037457
102466972	NR_106763
245939	
101929261	NR_134277
102466190	NR_106779
26519	
100126329	NR_040032
100126330	NR_040032
100126330	NR_030639
100126330	NR_030637
100126352	NR_040032
144486	NR_027035
56658	
202658	
693191	NR_030337
353511	NR_123722
353511	
100422823	NR_036186
442902	NR_029886
100616333	NR_039691
3803	
102466874	NR_107024
100500811	NR_037416
102465492	NR_106878
100500821	NR_037472
56662	NR_026705
100033443	NR_003298
100422830	NR_130461
6218	
6218	NR_111943
3447	
677797	NR_002992
677837	NR_002986
80737	
100847075	NR_049866
337976	
56979	
389362	
100500835	NR_037468
100126319	NR_030623
8449	
729665	
677825	NR_002976
100313842	NR_031753
693233	NR_030378
102465525	NR_106930
140881	
56888	
407002	NR_029633
4888	NR_002713
4888	
440757	NR_034167
440757	
100169758	NR_023369
129790	
129790	NR_026865
8220	
100423030	NR_036073
100422924	NR_036189
406982	NR_029492
100313829	NR_031669
199713	
5581	
26255	NR_002734
100423029	NR_036121
102465993	NR_107001
102466251	NR_107028
4758	
402778	
1238	
340168	
100500802	NR_037456
100616469	NR_039627
102465246	NR_106752
445347	
5304	
730013	
595100	NR_002443
100500916	NR_037467
100533105	
101929478	NR_120362
101929478	NR_120361
115795	
692091	NR_003048
100500803	NR_037483
100616417	NR_039949
26832	NR_002757
1263	
100616373	NR_039927
406962	NR_029707
93474	
677810	NR_003016
6138	
100422866	NR_036057
54780	
100033441	NR_003296
201229	
253018	
100500840	NR_037429
407018	NR_029501
102465446	NR_106804
143872	
255403	
100302265	NR_031573
26797	NR_002742
100033816	NR_003357
102465256	NR_106768
100422919	NR_036268
6917	
6917	NR_109901
100874002	NR_046635
100874002	
259296	
100500864	NR_037497
126014	
10321	
100422874	NR_036241
102466745	NR_106890
10466	
100616480	NR_039697
100033435	NR_003338
3263	
102465248	NR_106756
101928287	
101928287	NR_110393
84692	
101927143	
101927143	NR_110669
100033414	NR_003317
84443	
84616	
677818	NR_002994
8754	
102465472	NR_106845
27120	
100313938	NR_031662
654322	NR_002922
100302226	NR_031603
728072	
133060	
574469	NR_030191
340390	
100616382	NR_039734
26716	
338755	
101928539	NR_109900
100616188	NR_039768
100422989	NR_036111
57674	
100126320	NR_030625
102465480	NR_106858
100616118	NR_039706
23120	
100126336	NR_030624
79166	NR_003061
79166	
8822	
284415	
100313838	NR_031581
5644	
6029	NR_002715
