EntrezGene ID	Affy HTA-2_0 probeset
22883	
101927120	
275	TC03002902.hg
275	TC03003386.hg
275	
101929066	
101929066	TC08001819.hg
8170	TC18000161.hg
8170	
390144	TC11000441.hg
114905	
114905	TC04000141.hg
245927	TC06001791.hg
55773	
55773	TC03000506.hg
5020	TC20000033.hg
5020	TC20001065.hg
100129543	
100129543	TC19000402.hg
122011	TC13000573.hg
55344	TC0Y000001.hg
55344	TC0X001559.hg
55344	TC0X000001.hg
55344	
200634	TC02000175.hg
200634	
4125	
4125	TC19001202.hg
100874253	TC01000596.hg
100874253	TC01004362.hg
29890	TC03000320.hg
84255	
55585	TC01003293.hg
55585	
5903	TC02000668.hg
5903	
6348	
503639	
503639	TC22000440.hg
503639	ADDON000620.hg
101928820	TC06001918.hg
101928820	TC06003749.hg
4609	TC08000749.hg
4609	
22928	TC16001032.hg
101929210	TC04002634.hg
101929210	TC04001392.hg
100131608	
102465255	
90332	TC19001616.hg
169714	TC09001726.hg
169714	
100616430	TC06001200.hg
100500873	
2936	TC08001110.hg
2936	
574473	TC19000832.hg
83690	TC08000498.hg
83690	
197322	
197322	TC16001704.hg
197322	TC16000689.hg
9895	TC14000781.hg
9895	
7710	TC19001901.hg
5104	
5104	TC14002308.hg
57657	TC01001298.hg
57657	
102465495	
100847049	
64285	
406938	
441294	TC07001974.hg
441294	TC07000939.hg
100616189	
100033799	TC15000094.hg
100033799	TC15000085.hg
100033799	TC15000105.hg
100033799	TC15000112.hg
100033799	TC15000099.hg
100033799	TC15000077.hg
100033799	TC15000079.hg
100033799	TC15000082.hg
100033799	TC15000084.hg
100124536	TC17000796.hg
100616176	TC14001229.hg
102465667	
79165	
100113379	TC09001026.hg
677838	TC01002426.hg
100130017	TC04002052.hg
100130017	TC04000368.hg
100130017	
1143	
1143	TC15002645.hg
100616304	TC13000459.hg
102465537	
93233	TC19001678.hg
93233	
93233	TC19002535.hg
100302172	TC02002580.hg
100302237	
8930	TC03001771.hg
8930	
2770	
2770	TC07002433.hg
2770	TC07000508.hg
442894	TC04001479.hg
407008	
2766	TC06000110.hg
2766	
100847030	
101929413	TC20001424.hg
101929413	TC20000623.hg
100313772	TC0X001199.hg
101929460	TC06002327.hg
101929460	TC06004019.hg
101929460	TC06004020.hg
1258	TC16001144.hg
1258	
407000	TC04000160.hg
102464834	
