EntrezGene ID	CCDS ID
100616225	
100616500	
27316	
27316	CCDS55510
27316	CCDS14661
100422965	
693155	
100616403	
677844	
102465875	
677835	
677808	
26080	
100846991	
55655	
677805	
100616186	
100847019	
26783	
406941	
100422956	
267010	
102466734	
100616378	
29995	CCDS33688
29995	
29995	CCDS63534
29995	CCDS63533
101927459	
100126301	
442892	
10915	
10915	CCDS4282
10915	CCDS43379
407016	
26785	
677799	
2339	
2339	CCDS6140
9437	
100500855	
8225	
8225	CCDS75943
100616404	
100126306	
693154	
102466720	
100126342	
10068	CCDS8206
10068	
10068	CCDS44666
26505	CCDS2026
26505	CCDS2025
26505	
406998	
693228	
693226	
407011	
100616164	
692206	
100616132	
677820	
1979	CCDS7303
100302178	
100616498	
7203	CCDS1140
7203	CCDS30888
7203	
406981	
26824	
103695436	
406944	
105374580	
1616	
10004	
10004	CCDS31604
100302196	
100616398	
100616276	
203611	CCDS35473
203611	
79576	CCDS14592
79576	
100423031	
100126329	
100126352	
103504732	
100126356	
100616495	
100500801	
100616178	
102466198	
100616228	
2979	CCDS4865
692086	
170689	CCDS8488
677776	
102465252	
1353	CCDS11583
1353	
1353	CCDS58579
100124540	
100422889	
102465511	
102464831	
677834	
100422892	
677794	
102465539	
102466192	
102466162	
102465533	
102466731	
100423006	
116512	CCDS31625
338428	
100500852	
102465463	
100616300	
102466733	
51112	CCDS1652
51112	
100616331	
100302168	
100616140	
100500865	
100616264	
101060684	
100500833	
115123	CCDS4141
115123	
8711	CCDS45602
8711	CCDS58510
8711	
677763	
103504736	
653073	
653720	
728498	
105378732	
102465668	
100616431	
100616435	
25940	CCDS33179
25940	
100616246	
100616457	
100422952	
374907	CCDS12582
374907	
102465257	
378706	
100616128	
100616192	
344022	CCDS46335
102465437	
100616341	
100422896	
79613	
79613	CCDS45516
8227	CCDS14116
8227	
100616177	
101410545	
51725	CCDS33835
100506013	CCDS77980
100506013	
677817	
128218	CCDS480
128218	
100847085	
9655	CCDS1830
100500839	
102466972	
245939	CCDS33430
101929261	
102466190	
26519	CCDS7959
100126330	
144486	
56658	
202658	
693191	
353511	
100422823	
442902	
100616333	
3803	
102466874	
100500811	
102465492	
100500821	
56662	
100033443	
100422830	
6218	
3447	CCDS6505
3447	
677797	
677837	
80737	
100847075	
337976	CCDS13604
56979	
56979	CCDS43307
389362	
389362	CCDS47361
389362	CCDS47360
389362	CCDS47362
100500835	
100126319	
8449	
729665	
729665	CCDS53898
677825	
100313842	
693233	
102465525	
140881	CCDS12992
56888	
56888	CCDS46350
407002	
4888	
440757	
100169758	
129790	
8220	CCDS13756
8220	
100423030	
100422924	
406982	
100313829	
199713	
5581	
5581	CCDS1824
26255	
100423029	
102465993	
102466251	
4758	
402778	
402778	CCDS53593
1238	
1238	CCDS2706
340168	CCDS34483
100500802	
100616469	
102465246	
445347	
5304	CCDS34768
730013	
595100	
100500916	
100533105	
100533105	CCDS6195
101929478	
115795	
115795	CCDS2596
692091	
100500803	
100616417	
26832	
1263	CCDS515
1263	
100616373	
406962	
93474	CCDS31087
677810	
6138	CCDS2640
6138	
6138	CCDS58818
100422866	
54780	CCDS7624
54780	
100033441	
201229	CCDS45631
201229	
253018	
100500840	
407018	
102465446	
143872	
255403	CCDS75078
255403	CCDS75079
100302265	
26797	
100033816	
102465256	
100422919	
6917	CCDS47857
6917	CCDS47858
6917	
100874002	
259296	
100500864	
126014	
10321	CCDS4929
10321	
10321	CCDS55019
100422874	
102466745	
10466	CCDS5743
10466	CCDS5742
10466	CCDS55152
10466	
100616480	
100033435	
3263	CCDS7763
3263	
102465248	
101928287	
84692	CCDS2949
101927143	
100033414	
84443	
84443	CCDS76006
84616	CCDS11383
677818	
8754	
102465472	
27120	
27120	CCDS12762
100313938	
654322	
100302226	
728072	CCDS35387
728072	
133060	CCDS3372
574469	
340390	
100616382	
26716	
338755	CCDS31413
101928539	
100616188	
100422989	
57674	
57674	CCDS58606
57674	CCDS11772
100126320	
102465480	
100616118	
23120	CCDS43394
23120	
100126336	
79166	
8822	CCDS78310
8822	CCDS6019
8822	
284415	
100313838	
5644	
6029	
767599	
102465449	
9972	CCDS4541
9972	CCDS75407
9972	CCDS64359
100616149	
100500886	
51156	
26869	
102466657	
94033	CCDS4128
56005	
56005	CCDS12133
3797	CCDS1719
3797	
7052	CCDS13302
7052	
619570	
26152	CCDS13174
26152	
100422957	
100422959	
100422844	
148206	
148206	CCDS54239
100500809	
100500820	
101929297	
102466880	
100616203	
29844	
100616441	
9907	CCDS47528
9907	
494335	
100526767	CCDS56128
100526767	
359	
359	CCDS8792
65243	
65243	CCDS452
401093	
158833	
158833	CCDS35321
100126340	
165631	CCDS46893
165631	CCDS77803
165631	
165631	CCDS3016
165631	CCDS77804
414196	
57189	
79690	CCDS5688
79690	
340205	CCDS64421
340205	CCDS4851
340205	CCDS64420
340205	
101928661	
6928	CCDS11324
6928	CCDS58538
6928	
6928	CCDS77007
677767	
26831	
693144	
677778	
767593	
1136	
1136	CCDS10305
1136	CCDS53964
100616339	
102465861	
100302190	
100313841	
441864	
101927694	
1351	CCDS8054
353513	CCDS56618
100505915	
101928682	
692209	
677814	
100847088	
105374896	
149086	
100616383	
100616165	
196500	CCDS44818
196500	CCDS58205
196500	
64112	CCDS9908
101340251	
100847040	
51594	CCDS1685
51594	
90025	CCDS34491
90025	
594838	
619564	
9656	
100313771	
100423025	
3106	CCDS34394
3106	
767611	
9730	CCDS74943
9730	CCDS74944
9730	
102465944	
100423016	
100616347	
389831	
102723360	
102724219	
102724441	
102724843	
102724951	
574460	
692085	
102465490	
102465536	
100616298	
5817	CCDS12640
5817	CCDS46106
5817	CCDS46105
5817	
5817	CCDS46107
390245	CCDS44713
100302148	
100302126	
103504738	
442914	
407044	
100847042	
25853	CCDS6549
25853	
100313914	
389434	CCDS55067
389434	CCDS5227
389434	CCDS55066
389434	
100313895	
4012	
4012	CCDS4087
4012	CCDS43346
9698	
9698	CCDS338
9698	CCDS44099
101928708	
100422926	
3987	
3987	CCDS54387
100288695	
100288695	CCDS54387
100616255	
102465521	
102465136	
102465856	
100422835	
402055	CCDS42995
402055	
103625684	
100422904	
1474	CCDS8126
100381270	CCDS55673
26771	
164091	CCDS267
255919	CCDS45480
255919	
255919	CCDS61931
677819	
142683	CCDS1212
142683	
54716	CCDS2730
54716	CCDS43077
54716	
100616157	
102465494	
100302133	
406972	
54660	
147948	
147948	CCDS33121
100500898	
105379554	
11149	CCDS5051
100033447	
100500884	
692199	
6477	
6477	CCDS10735
6477	CCDS32444
837	
837	CCDS8327
837	CCDS41704
102465835	
100422880	
9231	
9231	CCDS7353
199713	CCDS12912
199713	CCDS33109
199713	CCDS46183
284551	
693173	
406897	
100616153	
100379224	
574515	
54033	
54033	CCDS46635
574494	
101954264	
101954268	
100500867	
100422973	
5158	CCDS54703
5158	CCDS33932
5158	
5158	CCDS46993
441631	
441631	CCDS31765
400798	
406932	
100616426	
338429	
56663	
100616117	
693193	
102466879	
692109	
100847005	
100616344	
26807	
100616231	
414236	
414236	CCDS53541
147645	
147645	CCDS54300
22937	
22937	CCDS2755
30846	CCDS12704
30846	
100422975	
100500888	
677831	
23466	CCDS13980
23466	CCDS77675
23466	
100302242	
100313773	
100422839	
100423010	
84669	CCDS32697
84669	
102465878	
102465435	
100422824	
1797	
388701	CCDS30876
100423037	
106780802	
406980	
8334	CCDS4585
5184	
5184	CCDS42544
5184	CCDS54245
5184	CCDS54244
100036564	
677839	
100616425	
100616113	
100847015	
79825	CCDS3054
79825	
100302179	
102466247	
100313923	
692092	
57498	
57498	CCDS42650
100423014	
100033448	
26121	
102464833	
102466191	
100616350	
100422883	
261726	CCDS1270
261726	CCDS30935
100616288	
100847086	
100616326	
100616159	
100616194	
79042	
100500813	
693212	
3111	
693125	
100500877	
100423017	
100616217	
100616464	
102465510	
692057	
114825	
114825	CCDS47331
114825	CCDS58990
114825	CCDS47332
3010	CCDS34349
55602	CCDS34110
55602	
102466738	
100423000	
23769	CCDS8057
79791	CCDS32501
79791	
79791	CCDS73922
102465431	
102465452	
102465882	
692111	
574475	
768219	
102466740	
100500862	
574030	
79000	
79000	CCDS266
79000	CCDS72731
574451	
677849	
116938	
4696	
100616338	
100616471	
100313822	
55670	CCDS13750
55670	
55670	CCDS56221
693164	
692110	
100616452	
102465693	
4864	
4864	CCDS11878
8724	CCDS5064
8724	CCDS5065
8724	
8724	CCDS75501
57504	CCDS62900
57504	
57504	CCDS46267
7014	CCDS10879
7014	
664709	
100036565	
102724788	
100616470	
407027	
406965	
427	CCDS6006
427	CCDS6005
427	
427	CCDS47813
100033453	
407048	
574482	
767568	
100422860	
103504737	
977	CCDS7719
977	
100616358	
26782	
100616171	
102466876	
574476	
51719	CCDS2478
51719	
100033821	
100302210	
693229	
100169768	
102466204	
406901	
2538	CCDS59291
2538	CCDS11446
2538	
693225	
100500899	
677827	
100422943	
407036	
102466747	
100616394	
100033818	
4485	
4485	CCDS33757
102465453	
406978	
693195	
102465445	
102465251	
100302174	
100616395	
342510	CCDS11702
342510	
8483	CCDS10203
6060	
692226	
406979	
574409	
102465467	
100616282	
26799	
654320	
1675	
407031	
100847050	
100126338	
693200	
100506376	
100423019	
724033	
6048	
100302258	
100422867	
100422929	
693127	
102466806	
100302283	
100616380	
28992	CCDS8056
28992	
100847032	
4580	CCDS1100
4580	CCDS1101
4580	
57501	
57501	CCDS46905
100147744	
693181	
102465832	
693178	
6203	
100423027	
100169755	
100616290	
102465429	
693143	
100422850	
100126321	
102465451	
100616274	
767581	
101954269	
100302263	
728228	
100616216	
693176	
102466721	
100033433	
100302212	
574040	
100422938	
103695431	
677815	
6304	CCDS2631
6304	CCDS56242
6304	
574042	
64735	
406951	
677774	
102465538	
724027	
149018	CCDS30869
100302270	
692106	
100302243	
7272	
7272	CCDS4993
7272	CCDS55040
101929351	
101928468	
7512	
7512	CCDS14613
58493	CCDS6785
58493	
406973	
693217	
100616160	
100847080	
140597	
140597	CCDS14496
100313779	
406950	
100500911	
1108	
1108	CCDS76510
1108	CCDS8552
26816	
102465450	
100422947	
254528	
221662	CCDS47378
221662	
221662	CCDS47379
221662	CCDS4538
26793	
5328	
5328	CCDS7339
5328	CCDS44442
102465432	
102466728	
10136	CCDS220
10136	
100313777	
100423020	
574474	
100616463	
100423015	
130872	CCDS1868
130872	
102465868	
574433	
677801	
9301	
11118	CCDS56399
11118	CCDS56400
11118	
11118	CCDS4605
406912	
407015	
100847035	
100313830	
100616237	
100616385	
100313884	
102465855	
102466250	
100422994	
102466268	
102465910	
100190949	CCDS47329
283116	CCDS55762
100616321	
1299	
1299	CCDS13505
26778	
84501	
84501	CCDS32516
100616141	
6083	
677826	
102465461	
103504726	
102464837	
100616174	
57621	CCDS5231
102465249	
677772	
767566	
64711	
574456	
100033425	
102466918	
102466201	
100616402	
102465471	
1674	CCDS33383
1674	
693166	
102466259	
767612	
102465523	
388697	CCDS30859
100616142	
407054	
84067	CCDS44530
84067	
84067	CCDS7760
102465906	
100847083	
102464828	
84437	
84437	CCDS31663
401172	
102465141	
664614	
574410	
147798	
154150	CCDS34347
100616376	
100422949	
693230	
406893	
102465491	
100616377	
100616252	
9583	
9583	CCDS6041
9583	CCDS47827
102466737	
285407	
100616183	
100126327	
100422969	
102466081	
100616289	
6084	
100423042	
219482	CCDS31532
406923	
102466878	
5475	
5475	CCDS14188
5475	CCDS43920
677777	
102465496	
100187716	
677803	
100302192	
100616453	
677812	
145741	CCDS32258
102465838	
693204	
102464826	
692201	
5436	CCDS31585
5436	
177	
100302177	
102465135	
406931	
206338	
206338	CCDS4124
26775	
677828	
102466722	
100422935	
102464823	
723778	
338324	CCDS30872
677846	
100126333	
442917	
55692	CCDS32348
55692	CCDS10401
55692	
1060	CCDS47063
1060	
100500841	
100616305	
55421	
55421	CCDS45578
100616154	
693124	
102465977	
347694	
102465532	
100616206	
100422927	
100422898	
693162	
100169757	
102465447	
677766	
84220	CCDS2083
84220	
84220	CCDS2082
729540	CCDS2083
729540	
729540	CCDS2082
100033449	
4849	
85449	CCDS33467
85449	
100302159	
642361	
100422967	
693175	
574449	
102465434	
100126337	
440888	
196410	CCDS8887
196410	
767583	
102723502	
102724631	
7596	CCDS12632
7596	
102724532	
100500844	
100616152	
100302225	
677823	
692203	
106481742	
106780825	
692053	
100616413	
114599	
100126332	
100847021	
574445	
100616491	
100302223	
55971	CCDS34687
55971	
100616317	
100616260	
102465482	
100616120	
100500889	
100033813	
692075	
693156	
100302195	
1460	
693222	
100616184	
148709	
100616405	
100616318	
94162	
26791	
100616242	
100847057	
693189	
10197	CCDS45689
10197	
10197	CCDS59290
10197	CCDS11442
377841	CCDS7043
377841	
377841	CCDS43913
100126351	
100302112	
100616144	
100169756	
84066	CCDS1323
84066	CCDS53433
84066	
84066	CCDS53434
100616122	
100616499	
100616371	
57835	CCDS1937
57835	
57835	CCDS1936
100616133	
27244	CCDS5070
27244	CCDS56444
27244	CCDS56445
27244	
201799	CCDS3779
201799	
100033418	
102465502	
102465457	
100616447	
407045	
407007	
4335	CCDS11018
4335	
56901	CCDS8935
56901	
79937	CCDS6616
79937	
100847018	
100422916	
574517	
343099	CCDS76180
343099	
1730	CCDS14468
1730	CCDS14467
1730	
57414	
57414	CCDS43602
57414	CCDS43603
285966	CCDS34769
285966	
285966	CCDS47735
100033454	
692158	
102724728	
574496	
102465665	
26795	
9303	
102465509	
100302157	
100616315	
100846996	
574514	
100422878	
767579	
100616280	
100616229	
100313770	
121549	CCDS31894
100500824	
132789	
132789	CCDS59473
132789	CCDS3469
132789	CCDS59472
102723532	
105369274	
26788	
100616223	
100616397	
5663	
5663	CCDS9813
5663	CCDS9812
102466199	
100422853	
100422993	
100423002	
8479	CCDS10664
8479	CCDS58449
8479	
693136	
100422870	
100423009	
406928	
80173	
80173	CCDS43793
80173	CCDS47955
406900	
102465484	
100033803	
100033603	
29057	CCDS35297
29057	
768218	
100616119	
100422940	
693192	
693194	
100847013	
767604	
100500901	
693148	
85316	
85317	
693224	
100302277	
