EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]
51166	NM_001286682
51166	NM_001286683
51166	NM_182662
51166	
26220	
9986	
9986	NM_005133
9986	NM_001032279
79644	NM_024592
79644	
81621	NM_030929
81621	
10314	
10314	NM_001136575
10314	NM_001136574
10314	NM_006055
442319	NM_001159522
117155	NM_054020
117155	NM_001282309
117155	NM_001282310
117155	
117155	NM_172095
57576	
57576	NM_001287212
57576	NM_001122819
57576	NM_020816
343450	NM_001287819
343450	
343450	NM_001287820
343450	NM_198503
123879	NM_173475
123879	
6942	NM_005650
6942	NM_181492
6942	
91689	
91689	NM_033318
9240	NM_006029
85441	NM_033405
85441	
85441	NM_001037335
1662	NM_004398
1662	
150160	NM_014406
253769	
253769	NM_182552
253769	NM_001202550
10220	NM_005811
10220	
50650	NM_019555
50650	NM_001128615
50650	NM_001128616
50650	
50650	NM_001289698
23670	NM_013390
23670	
23670	NM_001135820
494513	NM_001042702
494513	
345193	NM_198506
345193	
84552	NM_032510
84552	
26279	NM_012400
26279	NM_001271814
221037	
221037	NM_032776
221037	NM_001282948
85235	NM_080596
388815	
2643	NM_001024070
2643	
2643	NM_001024071
2643	NM_000161
2643	NM_001024024
55743	
55743	NM_018223
55743	NM_001161347
55743	NM_001161346
55743	NM_001161345
55743	NM_001161344
1535	NM_000101
1535	
6424	NM_003014
6424	
203238	NM_173550
203238	
196463	NM_001159727
196463	NM_173542
196463	
64081	
64081	NM_001033083
64081	NM_022129
103352670	
9228	NM_004745
9228	
5261	NM_000294
5261	
5261	NM_001172432
80833	NM_145640
80833	NM_014349
80833	NM_030644
80833	NM_145639
80833	NM_145642
80833	NM_145641
80833	
55229	NM_018216
55229	
60676	NM_021936
60676	NM_020318
60676	
100130111	
558	NM_021913
558	NM_001699
558	
558	NM_001278599
63827	
63827	NM_021948
63827	NM_198427
119772	NM_001004137
84639	NM_173161
84639	NM_032556
84639	
81696	
100874031	
6691	
6691	NM_021114
6691	NM_001271718
6691	NM_001271720
6691	NM_001271722
6691	NM_001271721
51296	
51296	NM_016582
79444	NM_022161
79444	NM_139317
79444	
100507435	
799	
799	NM_001164738
799	NM_001742
799	NM_001164737
22862	NM_001079673
22862	
22862	NM_014923
22862	NM_001278438
4733	NM_004147
4733	
442194	
79794	NM_024738
79794	
137868	NM_139167
137868	
56990	
56990	NM_020240
56990	NM_001038702
23185	
23185	NM_015155
2314	
2314	NM_002018
2314	NM_001256265
2314	NM_001256264
163223	NM_001001411
26531	
26531	NM_013937
10695	NM_006586
10695	
1613	NM_001348
1613	
101927274	
7587	
7587	NM_003421
7587	NM_001178101
7587	NM_001007094
728340	
728340	NM_001098728
1760	NM_001288764
1760	NM_004409
1760	
1760	NM_001288765
1760	NM_001081563
1760	NM_001081560
1760	NM_001081562
1760	NM_001288766
137209	NM_152412
56171	
56171	NM_018897
100507118	
64981	
64981	NM_023937
10061	NM_005692
10061	NM_007189
10061	
64097	
64097	NM_022140
6289	NM_001127380
6289	
6289	NM_030754
283316	
283316	NM_174941
283316	NM_001297650
1827	
1827	NM_203418
1827	NM_001285389
1827	NM_004414
1827	NM_203417
1827	NM_001285391
1827	NM_001285393
1827	NM_001285392
285051	
285051	NM_173649
285051	NM_001163561
81559	
81559	NM_145214
7570	NM_006963
652968	
652968	NM_001037666
284273	NM_175907
284273	NM_001306093
284273	
2744	NM_014905
2744	NM_001256310
2744	
80072	
79411	NM_024506
79411	NM_001286423
79411	
79411	NM_001286427
55659	NM_017879
132989	NM_144645
132989	
100506746	NM_144645
100506746	
1005	NM_033646
1005	NM_001317214
1005	NM_004361
1005	
118460	NM_058219
55696	
55696	NM_018047
64764	NM_194071
64764	
64764	NM_001253775
5707	NM_002807
5707	
5707	NM_001191037
80864	
80864	NM_030652
102723968	
79596	NM_024546
8623	NM_004192
8623	NM_001173474
8623	
8623	NM_001173473
285521	NM_173827
285521	NM_001297733
285521	
285521	NM_001297732
10718	NM_001010848
10718	NM_001165972
10718	
10718	NM_001165973
79939	
79939	NM_024881
53822	
53822	NM_022006
100874101	
116285	
116285	NM_052956
7567	
7567	NM_006961
101927849	
100101120	
9540	NM_147184
9540	NM_004881
9540	NM_001206802
9540	
7581	NM_001278170
7581	NM_006954
7581	NM_001278177
7581	NM_006974
7581	
7581	NM_001278173
7581	NM_001278175
7581	NM_001278174
7581	NM_001278171
7581	NM_001278178
7581	NM_001278179
7581	NM_001278176
55173	NM_018141
9271	NM_004764
9271	NM_001190971
9271	
83394	NM_001165966
83394	NM_031220
83394	
4118	
4118	NM_002371
4118	NM_022438
4118	NM_022439
4118	NM_022440
3861	NM_000526
3861	
388906	
8324	NM_003507
27044	NM_014390
27044	
100529215	NM_001202425
100529215	
100529215	NM_001172650
119682	NM_001004755
143941	NM_001080441
143941	
27288	NM_014469
122525	NM_001017923
122525	
144983	NM_001011725
144983	NM_001011724
101928469	
339622	
100131187	
100131187	NM_001113205
100131187	NM_001113206
100131187	NM_001113207
79634	
79634	NM_001193528
79634	NM_024583
53616	NM_016351
53616	
53616	NM_021721
53616	NM_004194
53616	NM_021723
53616	NM_021722
50964	NM_025237
5705	
5705	NM_002805
5705	NM_001199163
85455	NM_033510
85455	
100506083	
55052	NM_017971
55052	
525	NM_001692
525	
8857	NM_003890
8857	
81853	NM_030969
81853	
81853	NM_001127711
81853	NM_001286489
81853	NM_001286488
81853	NM_001286484
140880	NM_130794
140880	NM_080830
8091	NM_003483
8091	
8091	NM_001300919
8091	NM_003484
8091	NM_001300918
100506869	
3211	NM_002144
3211	
23475	
23475	NM_014298
55506	NM_018649
55506	
54518	NM_019043
54518	
6712	
6712	NM_006946
219654	NM_153367
219654	
7433	NM_001251882
7433	
7433	NM_004624
7433	NM_001251885
7433	NM_001251883
7433	NM_001251884
5939	NM_002898
5939	
8326	NM_003508
442721	NM_207163
442721	
4049	NM_000595
4049	
4049	NM_001159740
338809	NM_001037671
338809	NM_001178097
10488	NM_006368
10488	
157285	
157285	NM_001080826
1737	NM_001931
1737	
10602	NM_001270438
10602	NM_001270437
10602	NM_006449
10602	
10602	NM_001270436
118461	NM_001135196
118461	
91801	NM_138775
91801	
91801	NM_001301010
7293	NM_003327
7293	
100419743	
64109	NM_022148
64109	
64109	NM_001012288
197358	NM_178844
197358	
100132169	
84224	NM_001256417
84224	
84224	NM_001256416
84224	NM_032264
55784	
55784	NM_001159643
55784	NM_018349
55784	NM_001159644
3617	NM_001563
3617	
3617	NM_001282368
23221	NM_001160036
23221	
23221	NM_001160037
23221	NM_015178
339906	
339906	NM_182702
419	
419	NM_001130017
419	NM_001130016
419	NM_001179
101928067	
5143	
5143	NM_000923
5143	NM_001098819
5143	NM_001098818
729966	
729966	NM_000923
729966	NM_001098819
729966	NM_001098818
148413	
100506915	
1582	
1582	NM_004391
100128731	
100128731	NM_001134693
10335	NM_130385
10335	NM_001100167
10335	NM_001206880
10335	NM_001098579
10335	NM_001100163
10335	
10335	NM_001206881
10659	NM_001025077
10659	
10659	NM_001025076
10659	NM_001083591
10659	NM_006561
7263	
7263	NM_003312
7263	NM_001270483
347541	NM_001271752
55026	NM_017938
55026	NM_001104544
55026	
55026	NM_001104545
8542	NM_003661
8542	NM_145343
8542	
8542	NM_001136540
8542	NM_001136541
86614	NM_001001877
86614	
86614	NM_153716
159119	NM_001001877
159119	
159119	NM_153716
56897	
56897	NM_130395
56897	NM_020135
115653	
22877	NM_014938
22877	
148641	NM_173508
148641	NM_001300845
5599	
5599	NM_139049
5599	NM_002750
5599	NM_139046
5599	NM_001278547
5599	NM_001278548
57115	NM_020393
57115	
100506907	
55308	NM_018332
55308	
5610	
5610	NM_001135652
5610	NM_002759
5610	NM_001135651
9516	
9516	NM_001136473
9516	NM_004862
9516	NM_001136472
256364	
256364	NM_153265
256364	NM_001300793
256364	NM_001300794
63970	NM_001195195
63970	NM_022112
63970	
63970	NM_001195194
63970	NM_001251964
8239	NM_001039591
8239	NM_001039590
8239	
54752	NM_017559
338773	NM_181724
338773	
3903	NM_002287
3903	NM_021706
3903	NM_001289025
3903	NM_001289027
3903	NM_001289023
3903	
3903	NM_001289026
51085	
51085	NM_032953
51085	NM_032952
51085	NM_032951
51085	NM_032954
2138	NM_172058
2138	
2138	NM_000503
2138	NM_001288574
2138	NM_001288575
2138	NM_172059
2138	NM_172060
25923	NM_015459
25923	NM_001290048
25923	
158830	
158830	NM_001025265
51400	NM_016147
51400	
51400	NM_001271593
353088	
353088	NM_001001415
1141	NM_000748
4867	NM_000272
4867	NM_001128178
4867	NM_207181
4867	
4867	NM_001128179
100431172	NM_001190765
765	
765	NM_001215
765	NM_001270500
765	NM_001270501
6133	NM_000661
6133	
6133	NM_001024921
1891	
1891	NM_001398
8654	NM_001083
8654	NM_033430
8654	
8654	NM_033437
256144	NM_001004702
256144	
7409	NM_001258206
7409	NM_005428
7409	NM_001258207
7409	
10250	
10250	NM_005839
10250	NM_001303449
10250	NM_001303448
100506765	
50700	NM_015725
50700	
25787	
146556	
146556	NM_001098514
146556	NM_152459
8209	NM_004649
8209	
8209	NM_198155
102724023	NM_004649
102724023	NM_198155
55527	NM_018708
8669	NM_003758
8669	NM_001284336
8669	NM_001284335
8669	
84767	NM_032681
84767	
101929470	
100874120	
23538	
23538	NM_012375
27087	
27087	NM_054025
27087	NM_018644
2110	
2110	NM_004453
2110	NM_001281738
2110	NM_001281737
135932	
135932	NM_001282876
135932	NM_001242773
135932	NM_001282877
135932	NM_001242775
135932	NM_153345
135932	NM_001242774
1131	
1131	NM_000740
4298	NM_005934
4298	
102723525	
92565	
92565	NM_145235
5978	NM_005612
5978	
5978	NM_001193508
22876	NM_014937
22876	
22876	NM_001243194
30814	NM_014589
7105	NM_003270
7105	
7105	NM_001278741
7105	NM_001278740
7105	NM_001278743
51056	
51056	NM_015907
6871	NM_001166105
6871	
6871	NM_133439
6871	NM_001291918
6871	NM_001488
27199	NM_080818
27199	
2023	NM_001428
2023	
6648	NM_000636
6648	NM_001024465
6648	
6648	NM_001024466
100129518	NM_000636
100129518	NM_001024465
100129518	
100129518	NM_001024466
10567	
10567	NM_006423
54468	NM_019005
54468	
79863	NM_024805
79863	
79863	NM_001171967
79412	NM_172229
79412	
79412	NM_001253725
79412	NM_001253726
79412	NM_024507
221400	NM_001010870
221400	
221400	NM_001168359
57521	
57521	NM_020761
57521	NM_001163034
8611	NM_176895
8611	NM_003711
8611	
55768	
55768	NM_018297
55768	NM_001145295
55768	NM_001145294
55768	NM_001145293
51058	NM_015911
51058	
51058	NM_001242739
54918	NM_017801
54918	
10859	NM_006669
10859	NM_001081638
10859	NM_001081639
10859	NM_001081637
10859	
10859	NM_001278398
8867	
8867	NM_001160306
8867	NM_203446
8867	NM_003895
8867	NM_001160302
170622	
170622	NM_203497
170622	NM_203495
170622	NM_001287394
2947	NM_000849
2947	
1339	NM_005205
1339	
120071	NM_001300722
120071	NM_152312
120071	NM_001300721
120071	
101927464	
84293	NM_001243779
84293	
84293	NM_001243781
84293	NM_032333
84293	NM_001243780
84293	NM_001243778
84293	NM_001243782
90871	NM_033428
90871	
65975	
65975	NM_030906
65975	NM_001289061
65975	NM_001289059
65975	NM_001289058
104533120	
94122	NM_001163335
94122	NM_138780
94122	NM_001163334
10500	NM_001178061
10500	NM_001178062
10500	NM_030913
10500	
105375732	
388333	NM_001128076
388333	
51634	NM_016024
51634	
387836	NM_207375
387836	NM_001130711
112885	NM_001284296
112885	NM_138415
112885	NM_001135862
112885	
112885	NM_001242450
200420	
54475	NM_001014445
54475	NM_018096
54475	
2572	NM_001134366
2572	NM_000818
2572	
114336	
114336	NM_033378
9389	
9389	NM_004803
11249	NM_007226
23741	NM_014335
23741	
6280	NM_002965
387264	NM_001005922
143501	NM_144663
7024	NM_005653
7024	NM_001173452
7024	
7024	NM_001173453
388272	
388272	NM_001001436
3804	
5364	NM_001130082
5364	
5364	NM_002673
642477	
80149	NM_025079
80149	
55818	
55818	NM_001146688
55818	NM_018433
1775	
1775	NM_001374
1775	NM_001301680
5613	NM_005044
5613	
7011	
7011	NM_007110
121227	NM_001136051
121227	NM_153377
121227	
7319	NM_003336
7319	
7319	NM_181762
7319	NM_001282161
253970	
253970	NM_001101341
8870	NM_003897
8870	
2530	NM_178155
2530	NM_178156
2530	
2530	NM_004480
116835	NM_001197327
116835	NM_052970
116835	
220988	NM_194247
220988	
57817	
57817	NM_021175
101928766	
23207	NM_015164
23207	
64108	NM_022147
23033	NM_015018
23033	
23033	NM_001199942
83871	NM_001144942
83871	
83871	NM_001256277
83871	NM_001144943
83871	NM_001142624
83871	NM_001256276
83871	NM_031934
83871	NM_001256278
83871	NM_001142625
102546226	
7381	NM_006294
7381	
7381	NM_001254752
221504	NM_152735
2549	NM_207123
2549	NM_002039
2549	
54345	NM_018419
23586	
23586	NM_014314
3614	
3614	NM_001142576
3614	NM_000883
3614	NM_001142575
3614	NM_001102605
3614	NM_001304521
3614	NM_183243
3614	NM_001142573
3614	NM_001142574
175	NM_000027
175	NM_001171988
175	
7365	NM_001075
7365	NM_001144767
8971	NM_006026
219541	NM_153450
219541	
79664	NM_024611
79664	NM_001018089
79664	
79664	NM_001276385
147798	
6283	NM_005621
55859	NM_018476
50717	
50717	NM_015726
54433	NM_032993
54433	NM_018983
54433	
114335	NM_033377
114335	
55161	NM_018126
55161	
7569	NM_001007088
7569	NM_001178099
7569	NM_006962
7569	
55057	
55057	NM_001039775
350	NM_000042
350	
10166	
10166	NM_014252
80146	NM_001253875
80146	
80146	NM_025076
80146	NM_001253876
3169	NM_004496
3169	
401666	NM_001005329
55862	NM_001002030
55862	NM_001139510
55862	
55862	NM_001105545
55862	NM_001105544
55862	NM_018479
54069	NM_018944
54069	
84312	NM_032352
84312	
27128	
27128	NM_013385
121952	
100129128	NM_001126063
100129128	
5008	NM_020530
5008	
6404	NM_003006
6404	NM_001206609
6404	
8689	NM_003771
8689	
23089	NM_001040152
23089	NM_001184961
23089	NM_015068
23089	NM_001172437
23089	NM_001172438
23089	
23089	NM_001184962
2002	NM_005229
2002	NM_001114123
2002	NM_001257168
2002	
10388	
10388	NM_014258
102724450	
100874295	
101060200	NM_001277291
100131434	
221120	
221120	NM_139178
2993	NM_002099
2993	
2993	NM_001308187
2993	NM_001308190
284383	NM_001004699
388719	
1429	NM_001134759
1429	NM_001889
1429	
1429	NM_001130043
1429	NM_001130042
2537	NM_002038
2537	NM_022873
2537	NM_022872
26261	
26261	NM_033506
26261	NM_001163499
26261	NM_012172
161145	
161145	NM_182526
3752	
3752	NM_004980
3752	NM_172198
9586	NM_182899
9586	
9586	NM_182898
9586	NM_004904
9586	NM_001011666
5792	
5792	NM_002840
5792	NM_130440
8310	NM_003501
8310	
8310	NM_001101667
81833	NM_030960
81833	
9881	NM_014831
9881	
286967	
100132967	
84557	NM_181509
84557	
84557	NM_032514
91179	NM_182895
91179	NM_153334
91179	
9927	
9927	NM_014874
9927	NM_001127660
10060	NM_020297
10060	
10060	NM_005691
6870	NM_001059
25896	
25896	NM_015434
25896	NM_001199811
25896	NM_001199812
25896	NM_001199809
1182	
1182	NM_001829
1182	NM_173872
1182	NM_001243372
1182	NM_001243374
5790	NM_005608
1894	NM_018098
1894	NM_001258315
1894	
1894	NM_001258316
27032	NM_001199181
27032	NM_001199182
27032	NM_001199180
27032	
27032	NM_001199179
27032	NM_001199184
27032	NM_001199183
27032	NM_001199185
27032	NM_014382
27032	NM_001001486
27032	NM_001001487
27032	NM_001001485
653333	
653333	NM_001137610
221154	
221154	NM_152726
5155	NM_002608
5155	NM_033016
5155	
100507002	
341880	NM_001206920
341880	NM_001306087
341880	
6146	
6146	NM_000983
119	
119	NM_001617
119	NM_001185054
119	NM_017488
119	NM_017482
119	NM_001185055
1910	NM_001201397
1910	NM_001122659
1910	NM_000115
1910	NM_003991
1910	
123803	NM_173474
123803	
123803	NM_001270766
123803	NM_001270767
144165	NM_153026
144165	
144165	NM_001144881
144165	NM_001144882
144165	NM_001144883
7419	
7419	NM_001135694
7419	NM_005662
136541	NM_001001317
136541	
4940	NM_006187
4940	
5763	
5763	NM_002824
128	NM_000671
128	
6750	NM_001048
886	NM_000730
101928345	
440104	
11107	
11107	NM_018699
11107	NM_001300823
11107	NM_001300824
101928376	
1557	NM_000769
1557	
127795	
127795	NM_152377
121340	NM_001173467
121340	NM_152860
121340	NM_001300837
121340	
401250	NM_001011700
101927377	
10102	NM_005726
10102	NM_001172695
10102	NM_001172696
10102	
10102	NM_001172697
8778	
8778	NM_003830
4999	NM_006190
4999	
317648	
101927221	
80726	NM_025249
80726	NM_001145305
80726	NM_001145304
80726	
114821	
100131496	
26232	NM_012168
26232	
4753	NM_001145108
4753	
4753	NM_006159
4753	NM_001145110
4753	NM_001145107
4753	NM_001145109
5510	NM_001282412
5510	NM_001282414
5510	NM_001282413
5510	
5510	NM_001282409
5510	NM_002712
5510	NM_001282410
5510	NM_001282411
5459	NM_002700
50834	NM_019599
50834	
57179	NM_020444
57179	
57179	NM_001079684
57179	NM_001079685
57179	NM_001287336
57179	NM_001287335
27097	
27097	NM_001025247
27097	NM_014409
343069	NM_001013631
343069	
101928079	
55889	NM_018652
55889	
643988	NM_001242659
651	NM_001201
246100	NM_139250
246100	
9283	NM_004767
8618	NM_003716
8618	
8618	NM_183393
8618	NM_183394
147923	
147923	NM_144689
10501	NM_032108
10501	
5526	
5526	NM_006244
5794	NM_002842
5794	NM_001161440
5794	
3720	NM_004973
3720	
3720	NM_001267040
145788	NM_001198784
145788	
9785	NM_014003
9785	
3658	
3658	NM_004136
540	
540	NM_000053
540	NM_001005918
540	NM_001243182
57462	NM_020702
57462	
79683	NM_153746
79683	NM_024630
79683	
6293	
6293	NM_022553
6293	NM_001289174
6293	NM_001289175
654364	NM_001018136
654364	
405753	NM_207581
405753	
4212	NM_170675
4212	NM_170676
4212	NM_001220482
4212	
4212	NM_172315
4212	NM_172316
4212	NM_170677
4212	NM_170674
4212	NM_002399
9957	NM_005114
9957	
80194	NM_025124
80194	NM_001078651
80194	
80194	NM_001078650
399967	NM_212555
399967	
84735	NM_032649
84735	
114819	
285692	
100533483	
101928509	
7299	NM_000372
7299	
127829	NM_138795
127829	
127829	NM_001256129
113540	NM_181271
113540	NM_181272
113540	NM_181270
113540	
113540	NM_181283
113540	NM_181269
113540	NM_181296
113540	NM_052999
113540	NM_181268
676	NM_207189
676	NM_001242805
676	NM_001242810
676	
676	NM_001726
676	NM_001242807
676	NM_001242808
676	NM_001242806
1149	NM_001279
1149	
8224	NM_133633
8224	NM_003490
8224	NM_001135774
8224	
144233	NM_181708
144233	
100506596	
1761	
1761	NM_021951
10957	
10957	NM_006813
23036	
23036	NM_015021
163131	
163131	NM_001005851
79913	NM_024855
279	NM_000699
279	
201625	NM_001291661
201625	
201625	NM_198564
2694	NM_005142
2694	
84650	
84650	NM_001278636
84650	NM_032565
102723487	
80763	NM_030572
80763	
1113	NM_001275
1113	
1113	NM_001301690
7322	
7322	NM_003339
7322	NM_181838
3262	
401447	NM_001256873
101928399	
81030	NM_030776
81030	NM_001160417
81030	NM_001160418
81030	
81030	NM_001160419
1442	NM_001317
1442	
1444	NM_001317
64975	NM_032477
5716	NM_002814
5716	
5716	NM_170750
100131816	
26017	
26017	NM_014077
101928527	
54556	NM_019071
54556	NM_198267
54556	
391109	NM_001004473
101928738	
84959	NM_032873
84959	
84084	NM_032144
150786	NM_032144
51132	NM_016120
51132	NM_183353
123722	NM_001007122
123722	NM_001281805
123722	NM_001281806
123722	
131578	NM_130830
131578	NM_001135057
54462	NM_001284241
54462	NM_018999
54462	
54462	NM_001284240
54462	NM_001284243
100131320	
645402	NM_001256874
2814	NM_004488
93663	NM_033515
93663	
57552	NM_020792
57552	
57552	NM_001146276
57552	NM_001146278
57552	NM_001146277
374986	NM_198549
374986	
374986	NM_001270384
100132526	
28968	NM_014037
28968	
100129361	
8100	NM_006531
8100	NM_175605
8100	
5770	NM_002827
5770	NM_001278618
647024	NM_001164446
647024	
9627	
9627	NM_005460
9627	NM_001308100
9627	NM_001242935
93010	NM_145236
93010	
25906	
25906	NM_001278485
25906	NM_001278486
25906	NM_014042
25906	NM_001278493
25906	NM_001278491
25906	NM_001278492
25906	NM_001278489
25906	NM_001278490
25906	NM_001278487
25906	NM_001278488
25906	NM_001278494
359822	
286148	
286148	NM_181787
167127	NM_174914
167127	NM_001168316
167127	
55066	NM_017990
55066	
54947	NM_017839
54947	
100874530	
100128890	
285349	
285349	NM_173658
100128675	
100287226	
7058	NM_003247
7058	
91368	NM_080656
91368	
51720	NM_016290
51720	
51720	NM_001199298
51720	NM_001199297
9988	NM_001142327
9988	
9988	NM_001142326
9988	NM_021145
404672	NM_207118
9424	NM_004823
9424	
63916	NM_133171
63916	
63916	NM_182764
55255	
55255	NM_018268
7182	
7182	NM_001291694
7182	NM_003298
101926950	
92715	
92715	NM_138778
441161	
441161	NM_001080507
204851	NM_198268
204851	NM_152696
204851	
204851	NM_198269
204851	NM_181358
100852408	
23218	NM_015175
23218	
729877	NM_001123392
4681	
4681	NM_182744
4681	NM_005380
4681	NM_001278165
4681	NM_001204084
4681	NM_001204085
4681	NM_001278166
4681	NM_001278164
4681	NM_001204086
105379030	
284521	
284521	NM_175911
284521	NM_001304535
101927434	
9796	NM_001099335
9796	NM_014759
9796	
115098	NM_001136203
115098	
115098	NM_138442
102723605	
100885778	
441430	NM_001012421
441430	
53632	
53632	NM_017431
119687	NM_001004749
54454	NM_001242338
54454	NM_017552
54454	
7104	NM_004617
7104	
3070	
3070	NM_001289075
3070	NM_018063
3070	NM_001289074
3070	NM_001289068
3070	NM_001289069
3070	NM_001289067
3070	NM_001289071
3070	NM_001289072
3070	NM_001289070
3070	NM_001289073
100130086	NM_001164415
146325	NM_145270
63915	NM_201280
63915	NM_001199322
63915	
2891	
2891	NM_001083620
2891	NM_000826
2891	NM_001083619
9293	NM_005684
143244	NM_001099692
489	NM_005173
489	NM_174958
489	
489	NM_174954
489	NM_174953
489	NM_174955
489	NM_174957
489	NM_174956
25778	NM_199462
25778	NM_015375
25778	
102724601	
2672	NM_001127215
2672	NM_005263
2672	
2672	NM_001127216
57129	NM_020409
57129	
57129	NM_177988
2595	
2595	NM_001301409
2595	NM_001301410
2595	NM_198141
101928153	
128414	
128414	NM_152864
22904	NM_014963
22904	NM_001100122
22904	
25770	NM_015370
780	NM_001954
780	NM_001297653
780	NM_013994
780	NM_001297654
780	
780	NM_001297652
780	NM_001202521
780	NM_001202522
780	NM_013993
780	NM_001202523
51077	
51077	NM_015962
200810	NM_001015050
200810	NM_001195223
81608	
81608	NM_030917
81608	NM_001134937
81608	NM_001134938
84680	
84680	NM_032592
84680	NM_001127219
7923	NM_014234
7923	
119504	
119504	NM_173473
119504	NM_001242548
119504	NM_001242547
119504	NM_001242546
80759	NM_030568
80759	NM_001251874
80759	
252946	
100289150	
9953	
9953	NM_006041
79016	
79016	NM_024050
168544	
168544	NM_207336
59344	
59344	NM_021628
59344	NM_001165960
54429	NM_018980
146713	
146713	NM_001082575
5329	NM_001005376
5329	
5329	NM_001301037
5329	NM_002659
5329	NM_001005377
81282	NM_001005238
4173	
4173	NM_182746
4173	NM_005914
9095	NM_005149
9095	
6991	NM_174910
6991	
169522	NM_133497
867	NM_005188
867	
10369	NM_006078
10369	
114984	NM_001142500
114984	NM_138439
114984	NM_001142499
114984	
64063	NM_022119
64063	
7020	
7020	NM_001042425
7020	NM_001032280
7020	NM_003220
643834	
643834	NM_001079807
101928696	
10903	
10903	NM_181873
10903	NM_001145862
55030	NM_017943
55030	
55030	NM_152231
51726	
51726	NM_016306
9362	NM_006032
9362	
9362	NM_001280558
55584	NM_017581
55584	
57181	
57181	NM_001127257
57181	NM_020342
9760	NM_014729
341568	
341568	NM_001005203
51765	NM_016542
51765	
51765	NM_001042453
51765	NM_001042452
222663	NM_001303136
222663	NM_152753
124152	
124152	NM_153208
84934	
84934	NM_032848
84934	NM_001286215
151531	NM_001135098
151531	
151531	NM_173355
55680	
55680	NM_001042417
55680	NM_017987
55680	NM_001278225
54816	
54816	NM_001002843
54816	NM_017661
54816	NM_001288588
54816	NM_001002844
54816	NM_001288589
145783	
145783	NM_001002843
145783	NM_017661
145783	NM_001288588
145783	NM_001002844
145783	NM_001288589
195814	
195814	NM_138969
55653	NM_017843
55653	NM_198799
55653	
55653	NM_001010974
2719	NM_001164618
2719	NM_004484
2719	NM_001164619
2719	
2719	NM_001164617
162967	
162967	NM_207333
8786	NM_183337
8786	
8786	NM_001286486
8786	NM_003834
8786	NM_001286485
1082	NM_000737
203	NM_000476
203	
55205	NM_018181
55205	
55062	
55062	NM_017983
100874190	
168975	
168975	NM_173538
201266	
151963	NM_178496
101929746	
100286844	
646522	
100506688	
23312	NM_015263
23312	
23312	NM_001174116
23312	NM_001174117
641311	
201965	NM_152682
201965	
201965	NM_001307922
646096	
255189	NM_213600
255189	
283152	
283152	NM_001145018
64600	NM_022819
64600	
26150	NM_015653
26150	
123228	NM_001172110
123228	NM_001172109
123228	NM_001166340
123228	
123228	NM_001172111
123228	NM_145204
1486	NM_004388
1486	
9525	NM_004869
9525	
9689	
9689	NM_014670
9689	NM_001207067
9689	NM_001207069
9689	NM_001207068
101928855	
105374516	
284424	
399694	NM_203349
399694	
23646	
23646	NM_012268
23646	NM_001031696
23646	NM_001291311
5252	
5252	NM_002636
5252	NM_024165
100873944	
51010	
51010	NM_016042
51010	NM_001002269
9508	NM_014243
9508	
55617	
55617	NM_017714
51314	NM_016616
51314	
10537	NM_006398
85465	
85465	NM_033505
149563	NM_178840
389072	NM_001080475
389072	
64067	
64067	NM_022123
64067	NM_001165893
64067	NM_001164749
64067	NM_173159
763	NM_001739
763	
106480429	
114899	NM_181435
114899	NM_030945
114899	
54538	NM_019055
54538	
54538	NM_001301088
23359	NM_015307
23359	
7454	
7454	NM_000377
4716	NM_004548
4716	
79866	NM_024808
79866	
79866	NM_001286747
79866	NM_001286746
260436	NM_152997
106660610	
10101	NM_012225
10101	
10101	NM_001284502
10101	NM_001284501
140453	NM_001040105
140453	
100130889	
101928151	
101929780	
4430	
4430	NM_012223
4430	NM_001130158
4430	NM_001161819
165679	NM_001040100
165679	
100526664	NM_001198759
100526664	NM_001198760
100874131	
222234	
222234	NM_001145269
222234	NM_001145268
79736	
79736	NM_024683
9249	NM_004753
9249	
101929754	
84128	NM_001303096
84128	NM_032168
84128	
391267	
353299	
353299	NM_001137669
7089	NM_003260
7089	NM_001144761
7089	
7089	NM_001144762
7089	NM_001300846
25970	
25970	NM_001308293
25970	NM_015503
25970	NM_001145812
25970	NM_001145796
25970	NM_001145797
25970	NM_001308294
25970	NM_001145795
868	
868	NM_170662
7422	
7422	NM_001025369
7422	NM_001025367
7422	NM_001033756
7422	NM_003376
7422	NM_001171628
7422	NM_001204385
7422	NM_001204384
7422	NM_001171624
7422	NM_001171623
7422	NM_001171626
7422	NM_001171630
7422	NM_001171625
7422	NM_001171627
7422	NM_001171629
7422	NM_001287044
7422	NM_001025366
7422	NM_001025368
7422	NM_001317010
7422	NM_001025370
7422	NM_001171622
5657	NM_002777
5657	
2199	NM_001004019
2199	NM_001998
2199	
2199	NM_001165035
100131117	
64801	
64801	NM_022786
66002	NM_023944
66002	
7827	NM_014625
7827	NM_001297575
9933	
9933	NM_014878
84824	NM_032738
84824	NM_001184872
84824	
84824	NM_001184866
84824	NM_001184867
84824	NM_001184870
84824	NM_001184873
84824	NM_001184871
2193	
2193	NM_004461
55027	NM_182922
55027	
260293	NM_178033
260293	
390	NM_001254738
390	NM_005168
390	
84216	
84216	NM_001286211
84216	NM_032256
84216	NM_001286213
7773	NM_006300
7773	
10059	NM_012063
10059	NM_001278464
10059	NM_012062
10059	
10059	NM_005690
10059	NM_001278463
