EntrezGene ID	Affy HG U133A probeset
4535	
4536	
4512	
4513	
4509	
4508	
4514	
4537	
4539	
4538	
4540	211600_at
4541	
4519	
4158	208568_at
4158	217434_at
4158	208568_at
117159	
117159	
117159	
3112	
3112	
3112	
3112	
7466	202908_at
7466	
7466	202908_at
7466	202908_at
7466	
7466	
653643	207575_at
653643	207575_at
51646	217783_s_at
51646	217783_s_at
51646	217783_s_at
51646	
51646	217783_s_at
51646	
51646	
51646	
51646	
51646	
55845	
9074	208474_at
9074	
9074	208474_at
8988	206375_s_at
9073	214598_at
390162	
723809	
723809	
874	205379_at
23440	
23440	
197350	
197350	
197350	
197350	
100874047	
100874047	
100874047	
100874047	
100505625	
100505625	
83658	217918_at
83658	217917_s_at
83658	217918_at
83658	217917_s_at
83658	
83658	217918_at
83658	217917_s_at
1050	204039_at
101927007	
101927007	
64208	219926_at
64208	219926_at
64208	219926_at
64208	219926_at
40	206690_at
40	206690_at
40	
40	
40	
337972	
84281	
84281	
84281	
84281	
84281	
84281	
84281	
84281	
84281	
7189	205558_at
7189	205558_at
7189	205558_at
245938	
245938	
10489	
10489	201932_at
10489	201932_at
10489	201932_at
10489	215765_at
10489	
10489	201932_at
10489	201932_at
56975	
56975	
56975	
56975	
56975	
51200	
51200	
51200	
51200	
51200	
51200	
51200	
51200	
51200	
51200	
51200	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
23191	
222255	214343_s_at
222255	
222255	
222255	
222255	
222255	
222255	
222255	214343_s_at
222255	
222255	214343_s_at
222255	214343_s_at
84674	
84674	
90019	
90019	
90019	
90019	
90019	
90019	
90019	
90019	
90019	
90019	
90019	
90019	
90019	
90019	
10598	201491_at
10598	201491_at
10598	
10598	
10598	
10598	
10598	
10598	
10598	201491_at
10598	201491_at
10598	201491_at
10598	201491_at
10598	201491_at
83861	
83861	
83861	
83861	
100130417	
100130417	
100130417	
388536	
388536	
388536	
388536	
388536	
388536	
388536	
388536	
94104	
94104	
94104	
94104	
94104	
643866	
643866	
3809	
285231	
285231	
285231	
285231	
285231	
285231	
100507564	
643707	213212_x_at
643707	
643707	
643707	
643707	213212_x_at
10816	215503_at
5281	205078_at
5281	205077_s_at
5281	205077_s_at
5281	205078_at
5281	205077_s_at
5281	205078_at
5281	205077_s_at
5281	205078_at
5281	205077_s_at
5281	
5281	
27152	
27152	
27152	
27152	
27152	
27152	
27152	
27152	
102723996	211199_s_at
102723996	211198_s_at
102723996	213450_s_at
102723996	211197_s_at
102723996	211199_s_at
102723996	211198_s_at
102723996	211199_s_at
102723996	211198_s_at
102723996	213450_s_at
102723996	211197_s_at
102723996	211199_s_at
102723996	211199_s_at
51398	217780_at
51398	217780_at
51398	217780_at
