hgnc_id	hgnc	previous	synonyms	entrez
HGNC:2661	DAB1			1600
HGNC:49443	DAB1-AS1			101926890
HGNC:2662	DAB2		DOC-2	1601
HGNC:17294	DAB2IP		AF9Q34, DIP1/2, KIAA1743, AIP1	153090
HGNC:2663	DACH1	DACH		1602
HGNC:16814	DACH2			117154
HGNC:17748	DACT1		DAPPER1, THYEX3, HDPR1, DAPPER, FRODO	51339
HGNC:21231	DACT2	C6orf116	bA503C24.7, DAPPER2	168002
HGNC:30745	DACT3	RRR1	MGC15476, DAPPER3	147906
HGNC:44120	DACT3-AS1			100506068
HGNC:2664	DAD1		OST2	1603
HGNC:18295	DAD1P1	DAD1L	DAD-R	56286
HGNC:2666	DAG1		A3a, 156DAG, AGRNR, DAG	1605
HGNC:2667	DAGK1~withdrawn			
HGNC:2668	DAGK2~withdrawn			
HGNC:2669	DAGK3~withdrawn			
HGNC:2670	DAGK4~withdrawn			
HGNC:1165	DAGLA	C11orf11	KIAA0659, NSDDR, DAGLALPHA	747
HGNC:28923	DAGLB		KCCR13L, DAGLBETA	221955
HGNC:51429	DALIR		DALI	
HGNC:25536	DALRD3		FLJ10496	55152
HGNC:28964	DANCR	KIAA0114, SNHG13	ANCR, AGU2, lncRNA-ANCR	57291
HGNC:26780	DAND5		FLJ38607, CKTSF1B3, DANTE, GREM3, CER2, DTE	199699
HGNC:2671	DAO		DAMOX	1610
HGNC:21191	DAOA		G72	267012
HGNC:30243	DAOA-AS1	DAOAAS, DAOA-AS	G30	282706
HGNC:2672	DAP			1611
HGNC:2673	DAP3		MRPS29, DAP-3, MRP-S29, bMRP-10, MGC126058, MGC126059, DKFZp686G12159	7818
HGNC:17624	DAP3P1	DAP3P	MRPS29P1	359804
HGNC:29762	DAP3P2	MRPS29P2		359774
HGNC:2674	DAPK1		DAPK	1612
HGNC:43591	DAPK1-IT1			
HGNC:2675	DAPK2		DRP-1, MGC119312	23604
HGNC:2676	DAPK3		ZIP, ZIPK	1613
HGNC:21490	DAPL1			92196
HGNC:16500	DAPP1		BAM32	27071
HGNC:2678	DARS			1615
HGNC:40170	DARS-AS1			101928243
HGNC:25538	DARS2		FLJ10514	55157
HGNC:2677	DAR~withdrawn			
HGNC:2679	DAT1~withdrawn			
HGNC:26383	DAW1	WDR69	FLJ25955, ODA16	164781
HGNC:2681	DAXX		DAP6	1616
HGNC:2682	DAZ1	DAZ	SPGY	1617
HGNC:15964	DAZ2		pDP1678, MGC126442	57055
HGNC:15965	DAZ3			57054
HGNC:15966	DAZ4			57135
HGNC:2683	DAZAP1		MGC19907	26528
HGNC:2684	DAZAP2		KIAA0058	9802
HGNC:43869	DAZAP2P1			645805
HGNC:2685	DAZL	DAZLA	DAZH, SPGYLA, MGC26406, DAZL1	1618
HGNC:2686	DAZLA~withdrawn			
HGNC:2688	DBCCR1~withdrawn			
HGNC:43904	DBET		DBE-T, DUX4L30	100419743
HGNC:17364	DBF4		ASK, chif, ZDBF1, DBF4A	10926
HGNC:17883	DBF4B		FLJ13087, DRF1, ASKL1, chifb, ZDBF1B	80174
HGNC:45059	DBF4P1			645084
HGNC:45060	DBF4P2			100420180
HGNC:45061	DBF4P3			
HGNC:2689	DBH		DBM	1621
HGNC:24155	DBH-AS1	NCRNA00118	BPR	
HGNC:2690	DBI		ACBP, ACBD1	1622
HGNC:2693	DBIL3~withdrawn			
HGNC:2694	DBIL4~withdrawn			
HGNC:38519	DBIL5P		ELP2P	100131454
HGNC:38518	DBIL5P2		ELP1P	100169989
HGNC:2692	DBIP1	DBIL2		1624
HGNC:2691	DBIP2	DBIL1		1623
HGNC:38517	DBIP3			791082
HGNC:2695	DBN1	D0S117E		1627
HGNC:28455	DBNDD1		MGC3101, FLJ12582	79007
HGNC:15881	DBNDD2	C20orf35	HSMNP1	55861
HGNC:2696	DBNL		SH3P7, HIP-55	28988
HGNC:2697	DBP		DABP	1628
HGNC:15594	DBR1			51163
HGNC:2698	DBT			1629
HGNC:33185	DBX1			120237
HGNC:33186	DBX2		FLJ16139	440097
HGNC:20229	DCAF4	WDR21, WDR21A	DKFZp434K114	26094
HGNC:27723	DCAF4L1	WDR21B		285429
HGNC:26657	DCAF4L2	WDR21C		138009
HGNC:20224	DCAF5	WDR22	BCRP2, D14S1461E, BCRG2, KIAA1824	8816
HGNC:30002	DCAF6	IQWD1	PC326	55827
HGNC:30915	DCAF7	WDR68	HAN11, SWAN-1	10238
HGNC:24891	DCAF8	WDR42A	H326, FLJ35857	50717
HGNC:31810	DCAF8L1	WDR42B		139425
HGNC:31811	DCAF8L2	WDR42C		347442
HGNC:23686	DCAF10	WDR32	MGC10765, FLJ23201	79269
HGNC:20258	DCAF11	WDR23	PRO2389, GL014	
HGNC:19911	DCAF12	KIAA1892, WDR40A	DKFZP434O125, MGC1058, CT102, TCC52	25853
HGNC:29395	DCAF12L1	WDR40B	KIAA1892L	139170
HGNC:32950	DCAF12L2	WDR40C		340578
HGNC:24535	DCAF13	WDSOF1	DKFZP564O0463, Gm83, HSPC064	25879
HGNC:43866	DCAF13P1			100129009
HGNC:43867	DCAF13P2			100288979
HGNC:43868	DCAF13P3			100132724
HGNC:25095	DCAF15	C19orf72	MGC99481	90379
HGNC:25987	DCAF16	C4orf30	FLJ20280	54876
HGNC:25784	DCAF17	C2orf37	FLJ13096	80067
HGNC:26238	DCAKD		FLJ22955	79877
HGNC:24459	DCANP1	C5orf20	DCNP1	140947
HGNC:21479	DCBLD1		MGC46341, dJ94G16.1	285761
HGNC:24627	DCBLD2		CLCP1, ESDN	131566
HGNC:2701	DCC		IGDCC1, NTN1R1	1630
HGNC:14669	DCD		AIDD, PIF, DSEP, HCAP, DCD-1	117159
HGNC:20625	DCDC1			341019
HGNC:18141	DCDC2		RU2, KIAA1154, DCDC2A, NPHP19	51473
HGNC:32576	DCDC2B			149069
HGNC:32696	DCDC2C			728597
HGNC:24799	DCDC5		FLJ46154	100506627
HGNC:2702	DCE			1631
HGNC:13681	DCHS1	CDH25, PCDH16	FIB1, KIAA1773, FLJ11790, CDHR6	8642
HGNC:23111	DCHS2	CDH27, PCDH23	CDHJ, FLJ20047, PCDHJ, CDHR7	54798
HGNC:2704	DCK			1633
HGNC:2700	DCLK1	DCAMKL1	KIAA0369, DCLK, DCDC3A	9201
HGNC:19002	DCLK2	DCAMKL2	MGC45428, DCDC3, DCDC3B, DCK2	166614
HGNC:19005	DCLK3	DCAMKL3	KIAA1765, DCDC3C	85443
HGNC:17660	DCLRE1A		SNM1, PSO2, KIAA0086, hSNM1	9937
HGNC:17641	DCLRE1B		SNM1B, FLJ12810, FLJ13998	64858
HGNC:17642	DCLRE1C	SCIDA	ARTEMIS, FLJ11360, SNM1C, A-SCID	64421
HGNC:44877	DCLRE1CP1			100289151
HGNC:2705	DCN		DSPG2, SLRR1B	1634
HGNC:2706	DCOH~withdrawn			
HGNC:18714	DCP1A		HSA275986, SMIF, SMAD4IP1	55802
HGNC:24451	DCP1B		FLJ31638	196513
HGNC:13558	DCP1~withdrawn			
HGNC:24452	DCP2		NUDT20	167227
HGNC:29812	DCPS		HSPC015, HINT-5, HSL1	28960
HGNC:2708	DCR		DSCR	
HGNC:26539	DCST1		FLJ32785	149095
HGNC:26562	DCST2		FLJ32934	127579
HGNC:18549	DCSTAMP	TM7SF4	DC-STAMP, FIND	81501
HGNC:2709	DCT	TYRP2		1638
HGNC:2710	DCTD			1635
HGNC:2711	DCTN1			1639
HGNC:44151	DCTN1-AS1			100189589
HGNC:2712	DCTN2		RBP50, DCTN-50	10540
HGNC:2713	DCTN3		DCTN-22	11258
HGNC:15518	DCTN4			51164
HGNC:24594	DCTN5		MGC3248, p25	84516
HGNC:16964	DCTN6		WS-3	10671
HGNC:28777	DCTPP1		MGC5627, RS21C6, CDA03, XTP3TPA	79077
HGNC:18184	DCUN1D1		RP42, SCRO, DCUN1L1, Tes3, SCCRO	54165
HGNC:20328	DCUN1D2	C13orf17	FLJ10704, FLJ20092	55208
HGNC:39889	DCUN1D2-AS	DCUN1D2-AS2		
HGNC:39888	DCUN1D2-AS1~withdrawn			
HGNC:28734	DCUN1D3		MGC48972, FLJ41725, DKFZp686O0290	123879
HGNC:28998	DCUN1D4		KIAA0276	23142
HGNC:28409	DCUN1D5		MGC2714, FLJ32431	84259
HGNC:2714	DCX		SCLH, DC, LISX, DBCN, XLIS	1641
HGNC:18985	DCXR		KIDCR, DCR, SDR20C1	51181
HGNC:28360	DDA1	C19orf58	PCIA1, MGC2594	79016
HGNC:2715	DDAH1		DDAH	23576
HGNC:2716	DDAH2			23564
HGNC:2717	DDB1		XPE	1642
HGNC:2718	DDB2		DDBB, UV-DDB2, FLJ34321	1643
HGNC:2719	DDC		AADC	1644
HGNC:40171	DDC-AS1			100129427
HGNC:2722	DDH1~withdrawn			
HGNC:2723	DDH2~withdrawn			
HGNC:19714	DDHD1	SPG28	KIAA1705, PA-PLA1	
HGNC:29106	DDHD2	SAMWD1	KIAA0725, SPG54	23259
HGNC:18961	DDI1		FLJ36017	414301
HGNC:24578	DDI2		MGC14844	84301
HGNC:26351	DDIAS	C11orf82	FLJ38838, FLJ25416, noxin	220042
HGNC:2724	DDIT1~withdrawn			
HGNC:2726	DDIT3		CHOP10, GADD153, CHOP	1649
HGNC:24944	DDIT4		RTP801, FLJ20500, REDD-1, REDD1, Dig2	54541
HGNC:30555	DDIT4L		REDD2, Rtp801L	115265
HGNC:24458	DDN		KIAA0749	23109
HGNC:2727	DDO			8528
HGNC:2728	DDOST		OST, KIAA0115, OST48, WBP1	1650
HGNC:2729	DDPAC~withdrawn			
HGNC:2730	DDR1	NTRK4, PTK3A, NEP, CAK, EDDR1	RTK6, CD167	780
HGNC:28694	DDR1-AS1	TIGD1L	bPG70P20.2, bCX111D4.7, bQB10J12.1	414771
HGNC:2731	DDR2	TYRO10, NTRKR3	TKT	4921
HGNC:16110	DDRGK1	C20orf116	dJ1187M17.3	65992
HGNC:2732	DDT		DDCT	1652
HGNC:33446	DDTL			100037417
HGNC:44546	DDTP1			101060160
HGNC:2733	DDU			
HGNC:2734	DDX1		DBP-RB	1653
HGNC:42171	DDX3P1	DDX3YP1		100133180
HGNC:42172	DDX3P2	DDX3YP2		100874489
HGNC:42173	DDX3P3	DDX3YP3		650560
HGNC:2745	DDX3X	DDX3	DBX, HLP2, DDX14	1654
HGNC:2699	DDX3Y	DBY		8653
HGNC:18700	DDX4		VASA	54514
HGNC:2746	DDX5	HLR1, G17P1	p68	1655
HGNC:2747	DDX6	HLR2	RCK	1656
HGNC:13948	DDX6P1	DDX6P	DDX6-Lp, bA150A6.3	442192
HGNC:37806	DDX6P2			100130117
HGNC:2748	DDX7~withdrawn			
HGNC:2735	DDX10		HRH-J8	1662
HGNC:44960	DDX10P1			100421371
HGNC:44961	DDX10P2			401533
HGNC:2736	DDX11		CHLR1, KRG2, CHL1, ChlR1, WABS	1663
HGNC:44176	DDX11-AS1			100506660
HGNC:37102	DDX11L1			100287102
HGNC:37103	DDX11L2			84771
HGNC:37104	DDX11L3			100302657
HGNC:37105	DDX11L4			100337622
HGNC:37106	DDX11L5			100287596
HGNC:37107	DDX11L6			
HGNC:37108	DDX11L7			
HGNC:37101	DDX11L8			100302090
HGNC:37109	DDX11L9			100288486
HGNC:14125	DDX11L10	DDX11P, DDX11L1		100287029
HGNC:37110	DDX11L11			
HGNC:37112	DDX11L13			
HGNC:37114	DDX11L15			
HGNC:37115	DDX11L16			727856
HGNC:2737	DDX12P	DDX12	CHLR2	440081
HGNC:2740	DDX17		P72	10521
HGNC:2741	DDX18		MrDb	8886
HGNC:20007	DDX18P1			319099
HGNC:21432	DDX18P2			651053
HGNC:33966	DDX18P3			442164
HGNC:33967	DDX18P4			402222
HGNC:33968	DDX18P5			646378
HGNC:31126	DDX18P6			100131370
HGNC:25628	DDX19A	DDX19L	FLJ11126	55308
HGNC:2742	DDX19B	DDX19	DBP5	11269
HGNC:2743	DDX20		DP103, GEMIN3	11218
HGNC:44673	DDX20P1			100421369
HGNC:2744	DDX21		RH-II/GU, GURDB	9188
HGNC:17347	DDX23		prp28, U5-100K, PRPF28, SNRNP100	9416
HGNC:13266	DDX24			57062
HGNC:18698	DDX25		GRTH	29118
HGNC:27334	DDX26B		FLJ41215	203522
HGNC:41180	DDX26B-AS1			
HGNC:15837	DDX27		dJ686N3.1, DRS1	55661
HGNC:17330	DDX28		MDDX28, FLJ11282	55794
HGNC:16715	DDX31		FLJ13633, FLJ23349, FLJ14578, PPP1R25	64794
HGNC:17821	DDX39A	DDX39	DDXL, BAT1L, URH49	10212
HGNC:39664	DDX39AP1			646164
HGNC:13917	DDX39B	BAT1	D6S81E, UAP56	7919
HGNC:39771	DDX39B-AS1			
HGNC:33450	DDX39BP1	BAT1P1		100048904
HGNC:33461	DDX39BP2	BAT1P2	BPG309N1.15	100048923
HGNC:18674	DDX41		ABS, MGC8828	51428
HGNC:18676	DDX42		RNAHP, RHELP, SF3b125, SF3B8	11325
HGNC:18677	DDX43		HAGE, DKFZp434H2114, CT13	55510
HGNC:50780	DDX43P1			100421307
HGNC:50781	DDX43P2			100533714
