hgnc_id	hgnc	previous	synonyms	entrez
HGNC:5	A1BG			1
HGNC:37133	A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	503538
HGNC:24086	A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	29974
HGNC:6	A1S9T~withdrawn			
HGNC:7	A2M		FWP007, S863-7, CPAMD5	2
HGNC:27057	A2M-AS1			144571
HGNC:23336	A2ML1	CPAMD9	FLJ25179	144568
HGNC:41022	A2ML1-AS1			
HGNC:41523	A2ML1-AS2			
HGNC:8	A2MP1	A2MP		3
HGNC:10	A2MRAP~withdrawn			
HGNC:9	A2MR~withdrawn			
HGNC:30005	A3GALT2	A3GALT2P	IGBS3S	127550
HGNC:18149	A4GALT		A14GALT, Gb3S, P(k)	53947
HGNC:17968	A4GNT		alpha4GnT	51146
HGNC:1	A12M1~withdrawn			
HGNC:2	A12M2~withdrawn			
HGNC:3	A12M3~withdrawn			
HGNC:4	A12M4~withdrawn			
HGNC:13666	AAAS			8086
HGNC:12	AABT~withdrawn			
HGNC:13	AAC1~withdrawn			
HGNC:14	AAC2~withdrawn			
HGNC:21298	AACS		FLJ12389, SUR-5, ACSF1	65985
HGNC:18226	AACSP1	AACSL		729522
HGNC:13792	AACT~withdrawn			
HGNC:17	AADAC		DAC, CES5A1	13
HGNC:24427	AADACL2		MGC72001	344752
HGNC:50301	AADACL2-AS1			101928142
HGNC:32037	AADACL3		OTTHUMG00000001887	126767
HGNC:32038	AADACL4		OTTHUMG00000001889	343066
HGNC:50305	AADACP1			201651
HGNC:17929	AADAT		KATII, KAT2	51166
HGNC:16881	AAED1	C9orf21		195827
HGNC:25662	AAGAB		FLJ11506, p34	79719
HGNC:19679	AAK1		KIAA1048, DKFZp686K16132	22848
HGNC:30205	AAMDC	C11orf67	PTD015, FLJ21035, CK067	28971
HGNC:18	AAMP			14
HGNC:19	AANAT		SNAT	15
HGNC:15886	AAR2	C20orf4	bA234K24.2	25980
HGNC:33842	AARD	C8orf85	LOC441376	441376
HGNC:20	AARS			16
HGNC:21022	AARS2	AARSL	KIAA1270, bA444E17.1	57505
HGNC:28417	AARSD1		MGC2744	80755
HGNC:49894	AARSP1			
HGNC:23993	AASDH		NRPS998, LYS2, ACSF4	132949
HGNC:14235	AASDHPPT		LYS5, CGI-80, AASD-PPT	60496
HGNC:17366	AASS		LORSDH, LKRSDH	10157
HGNC:51526	AATBC			284837
HGNC:19235	AATF		DED, CHE-1, CHE1, BFR2	26574
HGNC:21	AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	9625
HGNC:40053	AATK-AS1			388428
HGNC:22	AAVS1		AAV	17
HGNC:11	AA~withdrawn			
HGNC:49667	ABALON		INXS	103021294
HGNC:23	ABAT		GABAT	18
HGNC:24	ABC1~withdrawn			
HGNC:25	ABC2~withdrawn			
HGNC:26	ABC3~withdrawn			
HGNC:28	ABC7~withdrawn			
HGNC:27	ABC50~withdrawn			
HGNC:29	ABCA1	ABC1, HDLDT1	TGD	19
HGNC:32	ABCA2	ABC2		20
HGNC:33	ABCA3	ABC3	ABC-C, EST111653, LBM180	21
HGNC:34	ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3	24
HGNC:35	ABCA5		EST90625	23461
HGNC:36	ABCA6		EST155051	23460
HGNC:37	ABCA7		ABCX	10347
HGNC:38	ABCA8		KIAA0822	10351
HGNC:39	ABCA9		EST640918	10350
HGNC:39983	ABCA9-AS1			
HGNC:30	ABCA10		EST698739	10349
HGNC:31	ABCA11P	ABCA11	EST1133530, FLJ14297	79963
HGNC:14637	ABCA12	ICR2B	DKFZP434G232, LI2	26154
HGNC:14638	ABCA13		FLJ33876, FLJ33951	154664
HGNC:32972	ABCA17P			650655
HGNC:40	ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20	5243
HGNC:11563	ABCB2~withdrawn			
HGNC:11564	ABCB3~withdrawn			
HGNC:45	ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1	5244
HGNC:46	ABCB5		EST422562, ABCB5beta, ABCB5alpha	340273
HGNC:47	ABCB6		EST45597, umat, MTABC3	10058
HGNC:48	ABCB7	ABC7	EST140535, Atm1p, ASAT	22
HGNC:49	ABCB8		EST328128, M-ABC1, MABC1	11194
HGNC:50	ABCB9		EST122234	23457
HGNC:41	ABCB10		EST20237, M-ABC2, MTABC2	23456
HGNC:14114	ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2	56476
HGNC:31128	ABCB10P2~withdrawn			
HGNC:31129	ABCB10P3			728248
HGNC:31130	ABCB10P4			100132289
HGNC:42	ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4	8647
HGNC:51	ABCC1	MRP, MRP1	GS-X	4363
HGNC:53	ABCC2	CMOAT	DJS, MRP2, cMRP	1244
HGNC:54	ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D	8714
HGNC:55	ABCC4		MRP4, EST170205, MOAT-B, MOATB	10257
HGNC:56	ABCC5		MRP5, SMRP, EST277145, MOAT-C	10057
HGNC:40055	ABCC5-AS1			
HGNC:57	ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7	368
HGNC:33352	ABCC6P1			653190
HGNC:33353	ABCC6P2			730013
HGNC:58	ABCC7~withdrawn			
HGNC:59	ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	6833
HGNC:60	ABCC9		SUR2, CMD1O	10060
HGNC:52	ABCC10		EST182763, MRP7, SIMRP7	89845
HGNC:14639	ABCC11		MRP8	85320
HGNC:14640	ABCC12		MRP9	94160
HGNC:16022	ABCC13		PRED6, C21orf73	150000
HGNC:61	ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy	215
HGNC:62	ABCD1P1			23785
HGNC:63	ABCD1P2		bA453N3.6	26983
HGNC:64	ABCD1P3			26982
HGNC:65	ABCD1P4			26957
HGNC:42662	ABCD1P5			642762
HGNC:66	ABCD2	ALDL1	ALDR, ALDRP	225
HGNC:67	ABCD3	PXMP1	PMP70, ZWS2	5825
HGNC:68	ABCD4	PXMP1L	PMP69, P70R, EST352188	5826
HGNC:69	ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP	6059
HGNC:70	ABCF1	ABC50	EST123147	23
HGNC:71	ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18	10061
HGNC:48841	ABCF2P1			344653
HGNC:48842	ABCF2P2			100422059
HGNC:72	ABCF3		EST201864	55324
HGNC:73	ABCG1		ABC8	9619
HGNC:74	ABCG2		EST157481, MXR, BCRP, ABCP, CD338	9429
HGNC:13884	ABCG4		WHITE2	64137
HGNC:13886	ABCG5		STSL	64240
HGNC:13887	ABCG8		GBD4	64241
HGNC:75	ABCR~withdrawn			
HGNC:17553	ABHD1		LABH1, FLJ36128	84696
HGNC:18717	ABHD2		LABH2	11057
HGNC:18718	ABHD3		LABH3	171586
HGNC:20154	ABHD4		FLJ12816	63874
HGNC:21396	ABHD5		CGI-58, NCIE2	51099
HGNC:21398	ABHD6			57406
HGNC:23759	ABHD8		FLJ11743, MGC14280, MGC2512	79575
HGNC:25656	ABHD10		FLJ11342	55347
HGNC:16407	ABHD11	WBSCR21	PP1226	83451
HGNC:18289	ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035	171022
HGNC:40012	ABHD11-AS2~withdrawn			
HGNC:15868	ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	26090
HGNC:19837	ABHD12B	C14orf29	BEM46L3	145447
HGNC:20293	ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	84945
HGNC:24538	ABHD14A		DKFZP564O243, DORZ1	25864
HGNC:38856	ABHD14A-ACY1			100526760
HGNC:28235	ABHD14B		MGC15429, CIB	84836
HGNC:26971	ABHD15			116236
HGNC:49685	ABHD15-AS1		linc-TP53I13, lnc-TP53I13	
HGNC:13921	ABHD16A	BAT5	NG26, D6S82E	7920
HGNC:16128	ABHD16B	C20orf135	dJ591C20.1	140701
HGNC:28756	ABHD17A	C19orf27, FAM108A1	MGC5244	81926
HGNC:28394	ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	728917
HGNC:33538	ABHD17AP2~withdrawn			
HGNC:34041	ABHD17AP3	FAM108A4, FAM108A4P		648359
HGNC:34042	ABHD17AP4	FAM108A5, FAM108A5P		729495
HGNC:34043	ABHD17AP5	FAM108A6, FAM108A6P		91219
HGNC:34044	ABHD17AP6	FAM108A7P		644988
HGNC:38508	ABHD17AP7	FAM108A8P		100133212
HGNC:38509	ABHD17AP8	FAM108A9P		647144
HGNC:38510	ABHD17AP9	FAM108A10P		100132251
HGNC:24278	ABHD17B	C9orf77, FAM108B1	CGI-67	51104
HGNC:26925	ABHD17C	FAM108C1		58489
HGNC:11320	ABI1	SSH3BP1	E3B1, ABI-1	10006
HGNC:20035	ABI1P1	SSH3BP1P, ABI1P		326268
HGNC:24011	ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	10152
HGNC:29859	ABI3		NESH, SSH3BP3	51225
HGNC:17265	ABI3BP		NESHBP, DKFZP586L2024, TARSH	25890
HGNC:76	ABL1	ABL	JTK7, c-ABL, p150	25
HGNC:77	ABL2	ABLL	ARG	27
HGNC:78	ABLIM1	LIMAB1, ABLIM	abLIM, limatin	3983
HGNC:19195	ABLIM2		KIAA1808	84448
HGNC:29132	ABLIM3		KIAA0843	22885
HGNC:79	ABO		A3GALNT, A3GALT1	28
HGNC:81	ABR		MDB	29
HGNC:30655	ABRA		STARS	137735
HGNC:21230	ABRACL	C6orf115	PRO2013, HSPC280, Costars	58527
HGNC:17369	ABT1			29777
HGNC:39557	ABT1P1			100420695
HGNC:18275	ABTB1		BPOZ, EF1ABP, Btb3, BTBD21	80325
HGNC:23842	ABTB2		DKFZP586C1619, BTBD22, ABTB2A	25841
HGNC:82	ACAA1			30
HGNC:83	ACAA2		DSAEC	10449
HGNC:84	ACACA	ACAC, ACC	ACC1	31
HGNC:85	ACACB		HACC275, ACC2, ACCB	32
HGNC:87	ACAD8			27034
HGNC:21497	ACAD9		NPD002, MGC14452	28976
HGNC:21597	ACAD10		MGC5601	80724
HGNC:30211	ACAD11		FLJ12592	84129
HGNC:88	ACADL		LCAD, ACAD4	33
HGNC:89	ACADM		MCAD, MCADH, ACAD1	34
HGNC:90	ACADS		SCAD, ACAD3	35
HGNC:91	ACADSB		SBCAD, ACAD7	36
HGNC:92	ACADVL		VLCAD, LCACD, ACAD6	37
HGNC:86	ACAD~withdrawn			
HGNC:319	ACAN	MSK16, CSPG1, AGC1	CSPGCP	176
HGNC:16467	ACAP1	CENTB1	KIAA0050	9744
HGNC:16469	ACAP2	CENTB2	KIAA0041, CNT-B2	23527
HGNC:41426	ACAP2-IT1			
HGNC:16754	ACAP3	CENTB5	KIAA1716	116983
HGNC:93	ACAT1	ACAT	THIL	38
HGNC:94	ACAT2			39
HGNC:15453	ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	64746
HGNC:23337	ACBD4		FLJ13322	79777
HGNC:23338	ACBD5		DKFZp434A2417, KIAA1996	91452
HGNC:23339	ACBD6		MGC2404	84320
HGNC:17715	ACBD7		FLJ38219, bA455B2.2	414149
HGNC:96	ACBP~withdrawn			
HGNC:98	ACCN~withdrawn			
HGNC:14594	ACCPN~withdrawn			
HGNC:23989	ACCS		PHACS, ACS	84680
HGNC:34391	ACCSL			390110
HGNC:97	ACC~withdrawn			
HGNC:25070	ACD		Ptop, Pip1, Tpp1, Tint1	65057
HGNC:2707	ACE	DCP1	ACE1, CD143	1636
HGNC:13557	ACE2			59272
HGNC:44365	ACE3P			100129123
HGNC:18356	ACER1	ASAH3		125981
HGNC:23675	ACER2	ASAH3L	FLJ41587	340485
HGNC:16066	ACER3	PHCA	FLJ11238, APHC	55331
HGNC:107	ACHAP~withdrawn			
HGNC:108	ACHE	YT		43
HGNC:109	ACHM1~withdrawn			
HGNC:110	ACHM2~withdrawn			
HGNC:111	ACHM3~withdrawn			
HGNC:112	ACHRD~withdrawn			
HGNC:113	ACHRG~withdrawn			
HGNC:106	ACH~withdrawn			
HGNC:17066	ACIN1	ACINUS	KIAA0670, fSAP152	22985
HGNC:4035	ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234	2532
HGNC:1565	ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9	1238
HGNC:23692	ACKR3	CMKOR1, CXCR7	RDC1, GPR159	57007
HGNC:1611	ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	51554
HGNC:114	ACLS			
HGNC:115	ACLY		ATPCL, CLATP, ACL	47
HGNC:116	ACMG~withdrawn			
HGNC:19288	ACMSD			130013
HGNC:117	ACO1	IREB1	IRP1, IREBP	48
HGNC:118	ACO2		ACONM	50
HGNC:33128	ACOT1		ACH2, CTE-1, LACH2	641371
HGNC:18431	ACOT2		Mte1, ZAP128	10965
HGNC:19748	ACOT4		FLJ31235, PTE-Ib, PTE2B	122970
HGNC:33159	ACOT6	C14orf42		641372
HGNC:24157	ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	11332
HGNC:15919	ACOT8	PTE1	hACTE-III, hTE, PTE-2	10005
HGNC:17152	ACOT9		CGI-16, MT-ACT48, ACATE2	23597
HGNC:18156	ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	26027
HGNC:24436	ACOT12		Cach, THEAL, STARD15	134526
HGNC:20999	ACOT13	THEM2	HT012	55856
HGNC:119	ACOX1		PALMCOX	51
HGNC:120	ACOX2		BRCACOX, BRCOX, THCCox	8309
HGNC:121	ACOX3			8310
HGNC:25621	ACOXL		FLJ11042	55289
HGNC:122	ACP1			52
HGNC:123	ACP2			53
HGNC:124	ACP5		TRAP	54
HGNC:29609	ACP6		LPAP, ACPL1	51205
HGNC:125	ACPP		ACP3, ACP-3	55
HGNC:14376	ACPT			93650
HGNC:126	ACR			49
HGNC:17195	ACRBP		SP32, OY-TES-1, CT23	84519
HGNC:15805	ACRC			93953
HGNC:127	ACRV1		SPACA2, SP-10, D11S4365	56
HGNC:128	ACS3~withdrawn			
HGNC:29567	ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	23205
HGNC:24174	ACSBG2		BGR, PRTD-NY3, DKFZp434K1635	81616
HGNC:26101	ACSF2		FLJ20920, ACSMW	80221
HGNC:27288	ACSF3			197322
HGNC:3569	ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	2180
HGNC:3570	ACSL3	FACL3	ACS3, PRO2194	2181
HGNC:3571	ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4	2182
HGNC:16526	ACSL5	FACL5	ACS5, ACS2	51703
HGNC:16496	ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2	23305
HGNC:18049	ACSM1	BUCS1	MACS1	116285
HGNC:32017	ACSM2A	ACSM2	A-923A4.1, MGC150530	123876
HGNC:30931	ACSM2B	ACSM2	HXMA, HYST1046	348158
HGNC:10522	ACSM3	SAH	SA	6296
HGNC:32016	ACSM4			341392
HGNC:26060	ACSM5		FLJ20581	54988
HGNC:51295	ACSM5P1			100421779
HGNC:31665	ACSM6	C10orf129	bA310E22.3	142827
HGNC:16091	ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	84532
HGNC:15814	ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	55902
HGNC:24723	ACSS3		FLJ21963	79611
HGNC:129	ACTA1	ACTA	NEM3	58
HGNC:130	ACTA2		ACTSA	59
HGNC:45169	ACTA2-AS1		uc001kfo.1, ZXF1	100132116
HGNC:131	ACTA3~withdrawn			
HGNC:132	ACTB			60
HGNC:17780	ACTBL2		DKFZp686D0972	345651
HGNC:134	ACTBP1			643309
HGNC:135	ACTBP2			62
HGNC:136	ACTBP3			63
HGNC:137	ACTBP4			64
HGNC:138	ACTBP5~withdrawn			
HGNC:139	ACTBP6			66
HGNC:140	ACTBP7			67
HGNC:141	ACTBP8		ACTBP2	68
HGNC:142	ACTBP9			69
HGNC:31819	ACTBP10			446207
HGNC:33971	ACTBP11			644220
HGNC:150	ACTBP12	ACTGP5		100462767
HGNC:44626	ACTBP13			389120
HGNC:45086	ACTBP14			389976
HGNC:143	ACTC1	ACTC	CMD1R	70
HGNC:144	ACTG1	ACTG, DFNA20, DFNA26		71
HGNC:146	ACTG1P1	ACTGP1, ACT1GP1		73
HGNC:147	ACTG1P2	ACTL2, ACTGP2		74
HGNC:148	ACTG1P3	ACTGP3		75
HGNC:149	ACTG1P4	ACTGP4		648740
HGNC:151	ACTG1P6	ACTGP6		78
HGNC:152	ACTG1P7	ACTGP7		79
HGNC:153	ACTG1P8	ACTGP8		80
HGNC:154	ACTG1P9	ACTGP9		82
HGNC:155	ACTG1P10	ACTL1, ACTGP10		83
HGNC:37651	ACTG1P11			414754
HGNC:44496	ACTG1P12			100418921
HGNC:49058	ACTG1P13			100418920
HGNC:49751	ACTG1P14			100418910
HGNC:51495	ACTG1P15			100418951
HGNC:51496	ACTG1P16			100418960
HGNC:51497	ACTG1P17			283693
HGNC:51498	ACTG1P18			100418924
HGNC:51499	ACTG1P19			644160
HGNC:51500	ACTG1P20			644961
HGNC:51501	ACTG1P21			100131291
HGNC:51502	ACTG1P22			100131953
HGNC:51503	ACTG1P23			442097
HGNC:49661	ACTG1P24	POTENP		441783
HGNC:145	ACTG2	ACTL3, ACTA3	ACTSG	72
HGNC:156	ACTL2~withdrawn			
HGNC:157	ACTL3~withdrawn			
HGNC:158	ACTL4~withdrawn			
HGNC:159	ACTL5~withdrawn			
HGNC:24124	ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	86
HGNC:160	ACTL6B	ACTL6	BAF53B	51412
HGNC:161	ACTL7A			10881
HGNC:162	ACTL7B		Tact1	10880
HGNC:24018	ACTL8		CT57	81569
HGNC:28494	ACTL9		MGC33407	284382
HGNC:16127	ACTL10	C20orf134		170487
HGNC:163	ACTN1			87
HGNC:20131	ACTN1-AS1	C14orf84		161159
HGNC:164	ACTN2			88
HGNC:165	ACTN3			89
HGNC:166	ACTN4	FSGS1		81
HGNC:44028	ACTN4P1			344978
HGNC:44032	ACTN4P2			391026
HGNC:51621	ACTP1			
HGNC:167	ACTR1A		ARP1, Arp1A	10121
HGNC:168	ACTR1B	CTRN2	Arp1B	10120
HGNC:169	ACTR2		ARP2	10097
HGNC:170	ACTR3		ARP3	10096
HGNC:17256	ACTR3B		ARP11, ARP3beta	57180
HGNC:37724	ACTR3BP1			643050
HGNC:38677	ACTR3BP2		FKSG73	440888
HGNC:38678	ACTR3BP3			647156
HGNC:38681	ACTR3BP4			777774
HGNC:38682	ACTR3BP5			399746
HGNC:38683	ACTR3BP6			644773
HGNC:37282	ACTR3C		ARP11	653857
HGNC:31820	ACTR3P1			100288580
HGNC:38676	ACTR3P2			100129013
HGNC:38679	ACTR3P3			100128020
HGNC:14671	ACTR5		FLJ12785, Arp5, INO80M	79913
HGNC:24025	ACTR6		ARP6, FLJ13433	64431
HGNC:44210	ACTR6P1			100421495
HGNC:14672	ACTR8		INO80N	93973
HGNC:17372	ACTR10		HARP11, ACTR11, Arp11, Arp10	55860
HGNC:24027	ACTRT1		AIP1, KIAA0705, ARIP1, Arp-T1	139741
HGNC:24026	ACTRT2		Arp-T2, ARPM2, FLJ25424	140625
HGNC:24022	ACTRT3		ARPM1	84517
HGNC:171	ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A	90
HGNC:172	ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB	91
HGNC:18123	ACVR1C		ALK7, ACVRLK7	130399
HGNC:173	ACVR2A	ACVR2	ACTRII	92
HGNC:174	ACVR2B		ActR-IIB	93
HGNC:44161	ACVR2B-AS1			100128640
HGNC:175	ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT	94
HGNC:176	ACVRLK2~withdrawn			
HGNC:177	ACY1			95
HGNC:178	ACY1L~withdrawn			
HGNC:24104	ACY3		HCBP1, MGC9740, ACY-3	91703
HGNC:179	ACYP1			97
HGNC:180	ACYP2			98
HGNC:181	AD1~withdrawn			
HGNC:182	AD2~withdrawn			
HGNC:183	AD3~withdrawn			
HGNC:184	AD4~withdrawn			
HGNC:185	AD5			
HGNC:186	ADA			100
HGNC:30713	ADAD1		Tenr	132612
HGNC:44550	ADAD1P1			100422386
HGNC:44552	ADAD1P2			100422407
HGNC:30714	ADAD2		TENRL, FLJ00337	161931
HGNC:31853	ADAL			161823
HGNC:187	ADAM1A	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P	8759
HGNC:44366	ADAM1B			100420505
HGNC:198	ADAM2	FTNB	PH-30b, PH30, CT15	2515
HGNC:209	ADAM3A	CYRN1	ADAM3, tMDCI	1587
HGNC:210	ADAM3B	CYRN2		1596
HGNC:212	ADAM5	ADAM5P	tMDCII	255926
HGNC:213	ADAM6	C14orf96	tMDCIV	8755
HGNC:214	ADAM7		GP-83, EAPI	8756
HGNC:215	ADAM8		CD156, MS2, CD156a	101
HGNC:216	ADAM9	CORD9	MDC9, KIAA0021, MCMP, Mltng	8754
HGNC:188	ADAM10		kuz, MADM, HsT18717, CD156c	102
HGNC:189	ADAM11	MDC		4185
HGNC:190	ADAM12		MCMPMltna, MLTN	8038
HGNC:43841	ADAM12-OT1~withdrawn			
HGNC:193	ADAM15		MDC15	8751
HGNC:195	ADAM17	TACE	cSVP, CD156B	6868
HGNC:196	ADAM18		tMDCIII, ADAM27	8749
HGNC:197	ADAM19		MLTNB	8728
HGNC:199	ADAM20			8748
HGNC:20102	ADAM20P1	C14orf55		317760
HGNC:43901	ADAM20P2			100533671
HGNC:43902	ADAM20P3			644325
HGNC:200	ADAM21		ADAM31	8747
HGNC:19822	ADAM21P1	ADAM21P		145241
HGNC:201	ADAM22		MDC2	53616
HGNC:202	ADAM23		MDC3	8745
HGNC:203	ADAM24P			646479
HGNC:206	ADAM28		eMDCII, MDC-Lm, MDC-Ls, ADAM23	10863
HGNC:207	ADAM29		svph1, CT73	11086
HGNC:208	ADAM30		svph4	11085
HGNC:15479	ADAM32			203102
HGNC:15478	ADAM33	C20orf153	DKFZp434K0521, dJ964F7.1	80332
HGNC:16299	ADAMDEC1		M12.219	27299
HGNC:217	ADAMTS1		C3-C5, METH1, KIAA1346	9510
HGNC:218	ADAMTS2		ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI	9509
HGNC:219	ADAMTS3		KIAA0366, ADAMTS-4	9508
HGNC:220	ADAMTS4		KIAA0688, ADAMTS-2, ADMP-1	9507
HGNC:221	ADAMTS5		ADMP-2, ADAMTS11	11096
HGNC:222	ADAMTS6		ADAM-TS6	11174
HGNC:223	ADAMTS7		ADAM-TS7, DKFZp434H204	11173
HGNC:49407	ADAMTS7P1	ADAMTS7P2		390660
HGNC:49408	ADAMTS7P2~withdrawn			
HGNC:49409	ADAMTS7P3			400406
HGNC:49410	ADAMTS7P4			642935
HGNC:224	ADAMTS8		METH2, FLJ41712, ADAM-TS8	11095
HGNC:13202	ADAMTS9		KIAA1312	56999
HGNC:40625	ADAMTS9-AS1			101929335
HGNC:42435	ADAMTS9-AS2			100507098
HGNC:13201	ADAMTS10		ADAM-TS10	81794
HGNC:14605	ADAMTS12			81792
HGNC:1366	ADAMTS13	C9orf8	VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322	11093
HGNC:14899	ADAMTS14			140766
HGNC:16305	ADAMTS15			170689
HGNC:17108	ADAMTS16		ADAMTS16s	170690
HGNC:17109	ADAMTS17		FLJ32769, FLJ16363	170691
HGNC:17110	ADAMTS18	ADAMTS21		170692
HGNC:17111	ADAMTS19			171019
HGNC:40797	ADAMTS19-AS1		RP11-346A9.1	
HGNC:17178	ADAMTS20		GON-1	80070
HGNC:16662	ADAMTS21~withdrawn			
HGNC:14632	ADAMTSL1	C9orf94	ADAMTSR1, FLJ35283	92949
HGNC:14631	ADAMTSL2		KIAA0605	9719
HGNC:14633	ADAMTSL3		KIAA1233, punctin-2	57188
HGNC:19706	ADAMTSL4	TSRC1	DKFZP434K1772	54507
HGNC:32041	ADAMTSL4-AS1	C1orf138	FLJ45786	
HGNC:27912	ADAMTSL5	THSD6		339366
HGNC:16486	ADAP1	CENTA1	GCS1L	11033
HGNC:16487	ADAP2	CENTA2		55803
HGNC:225	ADAR	IFI4, G1P1	ADAR1	103
HGNC:226	ADARB1		ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d	104
HGNC:227	ADARB2		RED2, hRED2, ADAR3	105
HGNC:23299	ADARB2-AS1	C10orf109, NCRNA00168	bA466B20.1	642394
HGNC:228	ADAT1			23536
HGNC:21172	ADAT2	DEADC1	dJ20N2.1, TAD2	134637
HGNC:25151	ADAT3		TAD3	113179
HGNC:19038	ADCK1		FLJ39600	57143
HGNC:19039	ADCK2		MGC20727	90956
HGNC:16812	ADCK3	CABC1	COQ8, SCAR9	56997
HGNC:19041	ADCK4		FLJ12229, COQ8	79934
HGNC:21738	ADCK5		FLJ35454	203054
HGNC:229	ADCP1			106
HGNC:230	ADCP2~withdrawn			
HGNC:231	ADCR~withdrawn			
HGNC:232	ADCY1		AC1	107
HGNC:233	ADCY2		HBAC2, KIAA1060, AC2	108
HGNC:234	ADCY3		AC3	109
HGNC:235	ADCY4		AC4	196883
HGNC:236	ADCY5		AC5	111
HGNC:237	ADCY6		AC6	112
HGNC:238	ADCY7		KIAA0037, AC7	113
HGNC:239	ADCY8	ADCY3	HBAC1, AC8	114
HGNC:240	ADCY9		AC9	115
HGNC:21285	ADCY10		SAC, Sacy, SACI, HCA2, RP1-313L4.2	55811
HGNC:44143	ADCY10P1			221442
HGNC:241	ADCYAP1		PACAP	116
HGNC:242	ADCYAP1R1		PAC1, PACAPR, PAC1R	117
HGNC:243	ADD1			118
HGNC:244	ADD2		ADDB	119
HGNC:245	ADD3	ADDL		120
HGNC:48682	ADD3-AS1			100505933
HGNC:246	ADDL~withdrawn			
HGNC:247	ADFN			122
HGNC:21212	ADGB	C6orf103	FLJ23121, dJ408K24.1	79747
HGNC:13838	ADGRA1	GPR123	KIAA1828	84435
HGNC:49543	ADGRA1-AS1	GPR123-AS1		
HGNC:17849	ADGRA2	GPR124	TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390	25960
HGNC:13839	ADGRA3	GPR125	FLJ38547, PGR21	166647
HGNC:943	ADGRB1	BAI1		575
HGNC:944	ADGRB2	BAI2		576
HGNC:945	ADGRB3	BAI3	KIAA0550	577
HGNC:19893	ADGRD1	GPR133	DKFZp434B1272, PGR25	283383
HGNC:18651	ADGRD2	GPR144	PGR24	347088
HGNC:3336	ADGRE1	TM7LN3, EMR1		2015
HGNC:3337	ADGRE2	EMR2	CD312	30817
HGNC:23647	ADGRE3	EMR3		84658
HGNC:19240	ADGRE4P	GPR127, EMR4, EMR4P	PGR16	326342
HGNC:1711	ADGRE5	CD97	TM7LN1	976
HGNC:18990	ADGRF1	GPR110	hGPCR36, PGR19	266977
HGNC:18991	ADGRF2	GPR111	hGPCR35, PGR20	222611
HGNC:18989	ADGRF3	GPR113	hGPCR37, PGR23	165082
HGNC:19011	ADGRF4	GPR115	FLJ38076, PGR18	221393
HGNC:19030	ADGRF5	GPR116	DKFZp564O1923, KIAA0758	221395
HGNC:32922	ADGRF5P1	GPR116P1		389740
HGNC:32921	ADGRF5P2	GPR116P2		441416
