EntrezGene ID	Ensembl Gene ID
680203	ENSRNOG00000033123
499747	ENSRNOG00000010600
103690047	ENSRNOG00000051904
310392	ENSRNOG00000010210
305795	ENSRNOG00000008167
171402	ENSRNOG00000010468
307916	ENSRNOG00000018784
306622	ENSRNOG00000042114
292165	ENSRNOG00000014893
83466	ENSRNOG00000053889
414792	ENSRNOG00000050210
25493	ENSRNOG00000007390
299620	ENSRNOG00000019349
310418	ENSRNOG00000021670
298404	ENSRNOG00000021433
25721	ENSRNOG00000011782
363646	ENSRNOG00000010673
100125385	ENSRNOG00000030355
310968	ENSRNOG00000049994
299828	ENSRNOG00000045629
56820	ENSRNOG00000053766
316614	ENSRNOG00000019557
292751	ENSRNOG00000019702
293319	ENSRNOG00000055389
360034	ENSRNOG00000018797
309349	ENSRNOG00000011562
25441	ENSRNOG00000024159
292090	ENSRNOG00000019143
500928	ENSRNOG00000029545
405378	ENSRNOG00000031110
690617	ENSRNOG00000039861
360600	ENSRNOG00000002749
365684	ENSRNOG00000058580
65135	ENSRNOG00000004298
155173	ENSRNOG00000019981
501779	ENSRNOG00000002046
29232	ENSRNOG00000001742
307404	ENSRNOG00000026060
299258	ENSRNOG00000007699
25026	ENSRNOG00000027030
295741	ENSRNOG00000033994
292597	ENSRNOG00000032699
362629	ENSRNOG00000027976
297388	ENSRNOG00000021866
367090	ENSRNOG00000018577
302719	ENSRNOG00000048574
499669	ENSRNOG00000020875
29699	ENSRNOG00000020284
690161	ENSRNOG00000023299
363002	ENSRNOG00000061572
305449	ENSRNOG00000012534
299625	ENSRNOG00000025742
100910668	ENSRNOG00000046526
680419	ENSRNOG00000017595
303693	ENSRNOG00000024954
499636	ENSRNOG00000045814
315327	ENSRNOG00000010793
296219	ENSRNOG00000004700
305625	ENSRNOG00000023937
100147704	ENSRNOG00000003785
292069	ENSRNOG00000051531
305626	ENSRNOG00000049895
293342	ENSRNOG00000017387
303729	ENSRNOG00000047026
286973	ENSRNOG00000006853
287328	ENSRNOG00000045886
103690280	ENSRNOG00000045886
315095	ENSRNOG00000013753
293233	ENSRNOG00000015811
682902	ENSRNOG00000048288
501138	ENSRNOG00000003991
689637	ENSRNOG00000021119
64510	ENSRNOG00000008472
54290	ENSRNOG00000042592
114024	ENSRNOG00000014718
691835	ENSRNOG00000050996
311179	ENSRNOG00000006445
501569	ENSRNOG00000030418
252859	ENSRNOG00000012789
291023	ENSRNOG00000016099
303564	ENSRNOG00000054581
298002	ENSRNOG00000059653
305166	ENSRNOG00000002159
304055	ENSRNOG00000001621
25314	ENSRNOG00000008676
405082	ENSRNOG00000057310
100911127	ENSRNOG00000057310
690572	ENSRNOG00000032724
499655	ENSRNOG00000042561
29692	ENSRNOG00000016945
298881	ENSRNOG00000004296
312373	ENSRNOG00000005981
315158	ENSRNOG00000055925
316573	ENSRNOG00000016640
296121	ENSRNOG00000010729
500668	ENSRNOG00000004774
362793	ENSRNOG00000013690
691024	ENSRNOG00000039559
365839	ENSRNOG00000016146
687694	ENSRNOG00000016146
289949	ENSRNOG00000007320
641519	ENSRNOG00000023195
100361866	ENSRNOG00000053457
300050	ENSRNOG00000021773
266733	ENSRNOG00000001792
300711	ENSRNOG00000029773
301371	ENSRNOG00000016201
114512	ENSRNOG00000002778
100911746	ENSRNOG00000047790
299576	ENSRNOG00000050274
307926	ENSRNOG00000017690
25561	ENSRNOG00000005270
293613	ENSRNOG00000048275
114554	ENSRNOG00000014675
84469	ENSRNOG00000006756
361212	ENSRNOG00000017641
117055	ENSRNOG00000026910
311372	ENSRNOG00000021954
29171	ENSRNOG00000009686
308779	ENSRNOG00000019278
100270669	ENSRNOG00000037310
24933	ENSRNOG00000053772
304663	ENSRNOG00000002950
690861	ENSRNOG00000014590
311331	ENSRNOG00000012811
295758	ENSRNOG00000053241
499719	ENSRNOG00000023457
362732	ENSRNOG00000023116
499751	ENSRNOG00000012559
305171	ENSRNOG00000002203
300458	ENSRNOG00000015863
691552	ENSRNOG00000032845
103690772	ENSRNOG00000032845
25398	ENSRNOG00000052707
252827	ENSRNOG00000015696
303353	ENSRNOG00000005538
684444	ENSRNOG00000045818
405147	ENSRNOG00000056884
100912218	ENSRNOG00000053771
494258	ENSRNOG00000051757
304761	ENSRNOG00000003979
102551504	ENSRNOG00000049274
498660	ENSRNOG00000038129
363164	ENSRNOG00000016942
360494	ENSRNOG00000017858
502097	ENSRNOG00000019267
25197	ENSRNOG00000001823
100911440	ENSRNOG00000018450
25742	ENSRNOG00000001295
287796	ENSRNOG00000031213
502316	ENSRNOG00000048138
294810	ENSRNOG00000019023
405193	ENSRNOG00000047267
81768	ENSRNOG00000011104
100360057	ENSRNOG00000011104
246294	ENSRNOG00000017941
29669	ENSRNOG00000049920
363044	ENSRNOG00000050155
405298	ENSRNOG00000015919
94338	ENSRNOG00000000257
305178	ENSRNOG00000002270
83508	ENSRNOG00000031916
494277	ENSRNOG00000033061
25167	ENSRNOG00000021223
100360390	ENSRNOG00000057454
287082	ENSRNOG00000047259
295735	ENSRNOG00000058567
302499	ENSRNOG00000002536
311169	ENSRNOG00000021513
291671	ENSRNOG00000019525
309208	ENSRNOG00000030180
500651	ENSRNOG00000004292
56826	ENSRNOG00000037148
298384	ENSRNOG00000012724
25659	ENSRNOG00000008047
140941	ENSRNOG00000015143
60374	ENSRNOG00000019638
305816	ENSRNOG00000009481
103690280	ENSRNOG00000058762
81769	ENSRNOG00000031022
100910180	ENSRNOG00000031022
100912182	ENSRNOG00000031022
116456	ENSRNOG00000012392
297756	ENSRNOG00000007238
361859	ENSRNOG00000000581
287280	ENSRNOG00000005828
367846	ENSRNOG00000060479
361286	ENSRNOG00000016873
360869	ENSRNOG00000003048
64460	ENSRNOG00000013498
363783	ENSRNOG00000060348
494311	ENSRNOG00000048370
500954	ENSRNOG00000020442
687711	ENSRNOG00000050410
116638	ENSRNOG00000020650
66021	ENSRNOG00000003622
684122	ENSRNOG00000049714
501183	ENSRNOG00000024878
294753	ENSRNOG00000056325
294270	ENSRNOG00000033215
303499	ENSRNOG00000010492
405171	ENSRNOG00000029802
366014	ENSRNOG00000015791
286911	ENSRNOG00000013382
29573	ENSRNOG00000011361
359959	ENSRNOG00000054385
246142	ENSRNOG00000007529
365328	ENSRNOG00000033200
306356	ENSRNOG00000020622
60567	ENSRNOG00000014296
688993	ENSRNOG00000042384
65131	ENSRNOG00000045811
289456	ENSRNOG00000002210
362687	ENSRNOG00000027360
306792	ENSRNOG00000014524
688389	ENSRNOG00000028582
25231	ENSRNOG00000008095
294122	ENSRNOG00000029877
302995	ENSRNOG00000019612
548106	ENSRNOG00000039469
287464	ENSRNOG00000007054
58977	ENSRNOG00000036827
688308	ENSRNOG00000046076
298227	ENSRNOG00000006615
304012	ENSRNOG00000039567
24790	ENSRNOG00000014084
296762	ENSRNOG00000013517
304923	ENSRNOG00000003861
293820	ENSRNOG00000013971
690388	ENSRNOG00000016798
300121	ENSRNOG00000032570
362184	ENSRNOG00000004842
499943	ENSRNOG00000015744
100363268	ENSRNOG00000029339
299687	ENSRNOG00000031493
316482	ENSRNOG00000017773
289315	ENSRNOG00000003247
288821	ENSRNOG00000008449
306934	ENSRNOG00000018804
24788	ENSRNOG00000017291
287613	ENSRNOG00000030521
287614	ENSRNOG00000030521
314721	ENSRNOG00000024870
293705	ENSRNOG00000021175
683519	ENSRNOG00000047984
366108	ENSRNOG00000021658
25237	ENSRNOG00000028713
497876	ENSRNOG00000042720
25557	ENSRNOG00000015052
499924	ENSRNOG00000013398
361771	ENSRNOG00000036576
100363253	ENSRNOG00000020179
293537	ENSRNOG00000020637
290850	ENSRNOG00000011839
313838	ENSRNOG00000032136
310780	ENSRNOG00000019738
313564	ENSRNOG00000012054
295229	ENSRNOG00000019201
685233	ENSRNOG00000021044
308701	ENSRNOG00000024460
498385	ENSRNOG00000003787
25538	ENSRNOG00000019453
252834	ENSRNOG00000007810
293049	ENSRNOG00000016897
56782	ENSRNOG00000000394
290843	ENSRNOG00000018077
24439	ENSRNOG00000014743
310682	ENSRNOG00000021216
25752	ENSRNOG00000020884
314221	ENSRNOG00000006296
362841	ENSRNOG00000000175
308584	ENSRNOG00000020942
103689997	ENSRNOG00000019043
303004	ENSRNOG00000020374
290533	ENSRNOG00000011307
24411	ENSRNOG00000003280
106146145	ENSRNOG00000017893
313592	ENSRNOG00000010841
290235	ENSRNOG00000020321
361296	ENSRNOG00000057832
