EntrezGene ID	Associated Gene Name
691552	Prl3d2
103690772	Prl3d2
25398	Cacna1a
252827	Cdk5rap1
303353	Psmd11
684444	LOC684444
405147	Olr386
100912218	LOC100912218
494258	Vom1r8
304761	Zranb3
102551504	Vom1r40
498660	Defb52
363164	Wdr48
360494	Tsr3
502097	Dkk4
25197	St6gal1
100911440	LOC100911440
25742	S100b
287796	Slc39a11
502316	Zfp566
294810	Tars
405193	Olr1679
81768	LOC100360057
100360057	LOC100360057
246294	Optn
29669	Psma2
363044	RGD1560112
405298	Olr109
94338	Smpd3
305178	Hnrnpdl
83508	Timeless
494277	Vom1r56
25167	Ptpra
100360390	LOC100360390
287082	Olr1368
295735	Olr465
302499	C1galt1c1
311169	Rtn4rl2
291671	Hspa9
309208	Lrrc10b
500651	Sptssa
56826	Adap2
298384	RGD1559786
25659	Khk
140941	Siah1
60374	Lmna
305816	Ddhd1
103690280	Olr1439
81769	Rpl36al
100910180	Rpl36al
100912182	Rpl36al
116456	Dnajc2
297756	LOC297756
361859	Cdc40
287280	Skp1
367846	Sp3
361286	Msrb2
360869	Tiprl
64460	Pex14
363783	Zdhhc23
494311	Vom1r63
500954	Ubl5
687711	Snrpd3
116638	Slc17a7
66021	Cybb
684122	Asap3
501183	Rbm44
294753	Mocs2
294270	RT1-Db1
303499	Sp2
405171	Olr1156
366014	Zdhhc12
286911	Prss3
29573	Slc37a4
359959	Rhebl1
246142	Bmf
365328	Olr82
306356	Cilp2
60567	Syt10
688993	Kctd7
65131	Cldn5
289456	Hsd17b11
362687	Srsf7
306792	S1pr3
688389	LOC688389
25231	Onecut1
294122	Taar4
302995	Haghl
548106	Pcdhb19
287464	Dhx33
58977	Ppp1r1a
688308	Tspan10
298227	Mtap
304012	Trmt10c
24790	Sp1
296762	Phtf2
304923	Gorab
293820	Psat1
690388	Pla2g2f
300121	Smc1b
362184	Dnajc24
499943	Spata25
100363268	LOC100363268
299687	Ascl4
316482	Crispld1
289315	Sde2
288821	Neurod4
306934	Fam65b
24788	Sord
287613	Olr1521
287614	Olr1521
314721	Anks1b
293705	Otub1
683519	Mrps22
366108	Olr577
25237	Acvrl1
497876	Mrpl28
25557	Star
499924	Bpifb3
361771	Zdhhc6
100363253	Nt5c2
293537	Hmx3
290850	Mrps31
313838	Cdc42ep3
310780	Gpr61
313564	Zmpste24
295229	Apoa1bp
685233	Gpatch8
308701	Tarsl2
498385	Lcorl
25538	Rps5
252834	Gdf6
293049	Rlbp1
56782	Srgn
290843	Gpat4
24439	Hagh
310682	Pex11b
25752	Cd6
314221	Six6
362841	Mier2
308584	Plekha4
103689997	Pdcd1
303004	Tmem8a
290533	Slmap
24411	Grin2c
106146145	Baiap3
313592	Col8a2
290235	Nop9
361296	Rnf125
100910755	Rufy2
405212	Olr827
100359879	Tmem91
691556	Zbtb42
25649	Apoa2
100366237	Pfdn4
24785	Slc9a4
298139	LOC298139
100361468	AABR07018028.1
287659	Socs7
291394	Cndp2
24244	Calm1
100362120	Tex40
498074	Retnlb
316624	Klhl30
100362572	Mpv17l
405301	Olr1352
494236	Vom1r4
373540	Il18rap
367167	Traip
361676	Pnpla2
305552	Wdpcp
307343	Fam210a
78961	Golph3
29492	Notch2
309918	Ell2
314396	Slc24a4
29277	Cyp2c11
308589	Sphk2
299274	Serpina9
295674	Plekha3
300589	LOC100910363
100910363	LOC100910363
29187	Cd69
307459	Arhgap26
290221	Nrl
681067	LOC681067
366458	Olr859
100910682	Olr859
680602	Lcn12
310483	Mlf1
100233176	LOC100233176
361047	Ska3
289197	Mgst3
316687	Gin1
300768	Coro2b
316376	Inpp1
290670	Tssk6
287098	Cldn6
360504	Hba-a2
25128	Umod
100360575	LOC100360575
100360575	LOC100360575
100909964	LOC100360575
100909964	LOC100360575
303539	Kat2a
311505	Pax1
315212	Alg12
292780	Alkbh6
687780	Fau
100360647	Fau
299142	Syt16
266601	Tomm20
171052	Mmp13
25367	Adarb1
117549	Gpr37
290642	Ccdc124
361069	Dmtn
29639	Fxyd2
100909715	LOC100909715
367252	Mgat4a
298225	Ifne
287514	Olr1514
60583	Ivl
315756	Dennd4a
315722	Adpgk
304979	Igsf8
94170	Atp6v0e1
81782	Soat1
310233	Zfp704
313906	Zfp512
300129	Cerk
29618	Btg1
170896	Ucn2
680794	Timm8a2
298981	Nkx1-1
100912488	Olr1241
297113	Gars
100365683	Nr2e3
309110	Pddc1
100911365	Pddc1
501890	RGD1561699
501902	RGD1561699
363085	Car12
286888	Wfdc2
25693	Slc18a1
294964	Ndufb5
304549	Oasl2
304987	Aim2
498079	Cd96
294595	Ttc37
688553	LOC688553
494227	Vom1r79
300257	Pfdn5
353302	Kif15
684545	LOC684545
361171	Golga7
363472	Prrg1
293410	Swap70
498234	Arl8a
689118	Sept14
690430	Nr1h5
24412	Grin2d
679082	Arhgap19
291164	Zkscan4
252880	Drgx
288378	Cd209b
287321	Olr1432
498006	Ccdc103
64517	Thop1
295448	Ints12
289020	Lrrn2
309326	Ranbp6
296599	Cacfd1
85244	Spa17
316403	Mars2
100911305	Mars2
65026	Rwdd3
680174	Sval1
302557	Pqbp1
103690291	LOC103690291
296583	Nacc2
301430	Orc2
314406	Serpina1f
24552	Me1
304851	Trmt1l
361935	Spata5
316313	Dst
298584	Capzb
314523	Wdr60
361466	Tppp
311630	Zswim3
64509	Tpbpa
282838	Gm2a
310508	B3galnt1
691501	Snapc5
680576	Tet3
59322	Cnksr2
298040	Olr851
299872	Eif3e
171385	Acmsd
308350	Lilrb3
308350	Lilrb3
309256	Fan1
29131	Cartpt
60630	Unc5b
679713	Brpf1
681913	Gstz1
245903	Magi3
679668	LRRTM1
500156	Atoh1
29182	Cdh22
305453	Cfap99
24548	Mbl1
300626	Olr1326
100910851	LOC100910851
84349	Cd40lg
405073	Olr1338
171352	Cyp3a9
295241	Mtx1
306562	Tacc1
29532	Ighmbp2
301626	NEWGENE_1311658
500400	Fam110b
100363289	LOC100363289
300643	Olr1341
360534	Trim11
103694624	LOC103694624
103694770	LOC103694624
100911949	Gm1045
315203	Gramd4
309922	Rhobtb3
252959	Dnah12
297123	Fkbp9
310632	Rab25
289500	Ccni
685304	Krtap19-5
311185	Kbtbd4
310820	Ptbp2
317576	Ocrl
360962	Tacc3
684785	Plekha2
293398	Olr252
362855	Rtcb
54305	Sstr2
314800	Acss3
360720	Rabl3
65192	Slc27a2
308345	Suv420h2
362710	Agbl5
303577	Acbd4
294103	Papss2
360992	Pnpt1
498038	Vgll3
79116	Apex1
498736	Tubb2a
315422	Mtmr2
315422	Mtmr2
300659	Rnf26
500473	RGD1566134
501795	Prr36
297419	Gkn2
294881	Slc7a12
170668	Rasgrp4
295876	Olr669
94193	Madd
63864	Hsd17b10
291470	Ftmt
64865	Pcdh8
404998	Olr164
80977	Syt13
289525	Enam
79146	Begain
685634	Smim12
170501	Galnt10
299604	Polrmt
313891	RGD1304963
404894	Olr34
311414	Zc3h8
309578	Olr1709
29731	Kcna3
291527	Stard6
360612	Scrn2
29647	Cask
116593	Upb1
24528	Lalba
303676	Slc25a19
102553119	Mettl21a
361025	Txndc16
24890	Esr1
311362	Frmd5
688981	LOC688981
691149	Capza1
316400	Pgap1
363707	Srp68
81818	Vim
312538	Mcm2
362366	Fkbp14
685666	Vom2r9
65142	Arl2
245966	Tmem150a
317389	Ccnb3
366618	Ap4s1
361888	LOC100362980
100362980	LOC100362980
680071	Krtap3-1
302983	Mapk8ip3
305268	Uba6
301131	Tnfaip8l1
298298	Dhcr24
689485	Vom2r67
313589	Rspo1
287380	Dhrs7b
293058	Fam103a1
295246	Dcst1
290500	Ggact
360886	Ahctf1
366111	Olr690
299127	Jkamp
102549817	LOC102549817
